index,value
0,267.963
1,245.432
2,354.955
3,259.618
4,239.66
5,300.479
6,222.207
7,312.33
8,32.7634
9,106.627
10,109.18
11,96.0144
12,39.5346
13,104.18
14,118.238
15,60.5762
16,0.615183
17,46.6969
18,86.6302
19,0.817398
20,68.8545
21,91.9184
22,4.01965
23,0.703081
24,52.3446
25,68.2937
26,0
27,81.2212
28,53.8695
29,44.1888
30,0.611562
31,120.083
32,125.33
33,188.261
34,121.332
35,129.558
36,91.1954
37,73.573
38,0.560064
39,40.1765
40,90.3353
41,218.786
42,129.997
43,102.695
44,59.3472
45,45.4487
46,80.6065
47,0.52406
48,66.3972
49,51.3296
50,143.605
51,67.8165
52,113.833
53,61.3162
54,127.842
55,16.7204
56,66.9428
57,106.217
