4.616611051539893396e+01,1.301464509509191814e+01,3.517448995918063247e+03,8.546767247975822102e+01,3.219204709243024354e+01,3.232542790944060584e+01,1.616997315329970419e+01,4.748761018809957335e+01,3.030901782215582685e+01,2.358053170396490117e+01,1.038824307030153022e+02,2.256823793766598030e+01,4.336617153357736356e+02,9.767867527671638754e+02,1.232332075160253595e+02,2.182528391057728712e+01,9.876166823799968242e+00,4.008854737468497120e+01,6.719420918854808633e+01,1.933732255735746364e+01,2.941920142027189655e+01,1.332153236837705208e+02,2.678031490824654171e+01,5.317725646921518035e+01,1.018753120476828755e+01,1.838043055376904533e+01,2.553844213109350392e+01,3.248772337925374387e+01,7.719245065613941748e+00,7.894696159262592516e+01,1.569746505274176407e+01,3.262293012886842547e+01,2.936415818767473596e+01,2.297585961795506648e+01,8.587309444762880162e+01,8.174945354688258021e+02,1.086049122247300005e+02,2.547133442328954445e+01,1.063657451248208332e+02,1.456230840635875623e+01,1.200631297404398801e+01,3.540537409424010917e+01,5.508650732625552848e+01,1.553012674084165923e+01,3.908094330491556434e+01,5.229176607963925960e+01,1.125605088633645678e+01,3.976200722166920514e+02,2.711357538373605536e+01,2.142636803862212247e+01
9.885650709488793098e+00,3.556122586760352533e+01,1.222329635568192998e+02,4.930464963166942027e+01,4.518135938614113911e+01,1.542024076295013479e+01,3.564457774130181633e+02,1.554023889541998926e+01,1.544140810081317916e+01,2.908222505136176750e+01,1.627037618497876181e+01,1.434200785919742849e+01,1.281028572082504411e+02,8.595333010504196736e+00,7.345971349181272103e+01,9.407168480896592655e+01,2.801870134534073031e+01,1.318469139200875517e+01,3.225846160475841629e+01,9.283016544462974196e+00,3.306826029991407836e+02,4.539615505462607103e+01,8.705055444270479725e+00,1.185161909858236839e+01,3.608906759795815589e+01,2.627726344232925015e+01,1.881871834278829070e+01,1.878757802971346891e+01,2.160292416336440908e+02,1.494901429610915855e+01,2.775101128744773149e+01,3.202765560072518980e+01,6.609629878590628493e+01,2.325150072430911052e+01,1.195917000288946497e+01,4.753026998388200752e+01,1.969619375947510775e+01,1.967344937929700563e+03,1.722867038278299034e+01,1.966017341186538374e+02,3.889268340884230213e+01,3.295076787780072891e+01,3.759290906120931197e+01,1.364769795207503833e+01,1.372934439396426320e+01,3.152683264142176256e+01,1.499171058215352836e+01,1.911644476299709439e+01,3.986200509721421525e+01,1.417262684468026634e+01
1.544934286665093559e+01,1.254728107640679191e+01,1.019166900292943900e+01,2.964832058122669167e+01,3.898927440028118241e+01,4.216186742292972411e+01,1.861802377804815478e+01,1.180441815860137211e+01,1.664443065458358717e+01,1.814781012401957838e+01,1.544147221043189404e+02,8.947373638261957751e+00,1.371558615206100740e+02,2.135973860720287476e+01,5.261808698372367843e+01,2.249298947323457298e+01,1.952921685033808075e+01,1.355419995553481805e+01,1.212084350033627445e+01,1.513951225233515743e+02,8.308043949867517597e+00,1.407140887125889094e+03,2.077791792678658922e+01,1.091575481886711785e+01,5.277044615394596150e+01,1.024262568804996221e+01,2.893420138301745226e+01,1.360912609083011482e+01,2.552453012490105166e+01,1.031268499322328758e+01,8.618566500825131982e+01,5.487658841192007458e+03,4.906659465491573968e+01,1.951377630358575743e+01,5.179533068490648873e+01,1.799619083641050210e+01,3.120955039975692813e+01,1.023227919943648345e+01,9.274044170158789768e+01,3.861866188960787838e+01,4.232378861651442037e+01,4.217506058257448132e+01,8.351871513270078040e+00,2.024542857071055479e+01,1.358201665281685599e+01,5.218372366777684590e+01,2.696231333681256714e+01,9.357841442872498305e+00,1.170879374775373272e+01,9.069399491647337186e+01
1.310008301239702000e+01,2.778753607941621340e+01,1.457864969755881113e+01,2.313690023171603372e+01,2.753417189056661130e+01,3.328093418824459349e+01,2.024605734616219195e+02,1.463115854340412270e+01,1.914232708819176878e+02,1.632836270349298857e+01,1.497354575772586038e+01,3.680287478427899117e+01,6.878388123867210879e+01,8.392348926788088193e+00,2.940364712399329150e+01,8.989076044128051279e+00,2.057180797854986309e+01,2.247646265586034886e+01,2.241597572608020243e+02,2.245938212939928036e+01,1.694734655829318015e+01,1.131201758649751277e+01,3.697045850298038516e+01,2.225202934843058600e+01,5.175091139857258327e+01,2.263486912748697932e+01,1.648490487790304115e+01,5.556229274507764870e+01,2.553799708060155638e+01,4.293252822149525372e+01,2.515800988718167162e+02,1.172998184211084549e+01,3.869014084429245059e+01,3.446238507752377700e+01,3.834501864411845418e+01,1.695942605895347981e+02,4.659284056726001211e+01,1.988568023402558538e+02,2.567845989200645107e+01,1.220823378550268679e+01,7.555806774196690867e+01,2.648110702857531251e+01,1.329132259631972879e+01,7.039789133669555099e+01,1.378970388205073228e+01,2.713477375771773836e+01,3.892337910693311898e+01,1.921369688542770149e+01,1.457590779329063757e+01,4.210526809529945069e+01
8.875223675927408351e+00,1.972894360952983561e+01,2.154673076541855181e+01,2.281258045846350768e+01,9.568154412141721465e+00,3.640007610093582713e+01,3.410363750239536529e+01,3.702741944871520730e+01,3.814595205055188387e+01,1.117965653610399102e+01,1.620480849063259399e+01,1.748063836229875179e+01,2.530464007758078537e+01,1.534770229320923107e+01,5.803273067346991354e+01,2.279273793488120603e+01,1.898495556192580125e+01,1.792290776600519919e+01,1.323636878255551430e+01,9.399366473855288007e+00,1.327823405860673134e+01,2.073304815568787163e+01,8.450491886157963961e+01,2.129490783771388962e+01,3.821808926102776383e+01,1.091873164286617204e+01,4.120260074165714315e+01,1.668620975194740552e+01,2.573848307322998963e+01,1.148599059687227530e+01,2.537197792668302654e+01,2.135554497421603770e+01,8.837347102838489121e+00,9.056707498218591113e+00,2.671066997569153401e+01,2.137379766776936307e+01,8.641932380101574154e+02,1.524533875374307890e+01,1.935783197384666465e+01,3.560741883873230051e+01,1.683581866855345766e+01,1.745142134903998610e+01,7.720708769444624586e+00,2.477453239786555983e+01,8.950319031308501039e+00,1.990004140290736601e+01,3.183401484363822931e+01,5.572467605837977622e+00,1.262772055135573979e+01,4.890819752505443319e+01
6.168670569716850238e+00,2.689398823689309026e+01,2.991337751553333035e+01,4.008116476799546746e+01,2.163431414693482111e+02,2.720944909023274505e+01,1.785432213970375770e+01,1.414307757791601894e+01,4.819020002500118949e+01,4.966401863590152175e+02,1.977352125161900744e+02,1.428588408201209070e+01,8.678696735144452390e+00,8.978110723626106449e+01,3.781585866027400300e+01,4.588797400285096728e+01,1.463111379948657031e+01,9.089521121752694555e+00,7.016534052253169307e+01,2.331831597623884633e+01,2.251531787305606969e+01,7.554048030615020082e+01,1.657748176642380855e+01,3.843555311398292673e+01,1.708024832887661049e+01,2.499012736711511593e+02,1.455054835646770961e+01,1.297253976374703655e+01,2.719555468440741208e+01,1.128308577846027738e+01,7.386530744302136497e+01,1.782048465714153096e+01,1.568646160702555115e+01,2.416133305620340366e+01,1.486357111573068757e+01,2.093212680669527970e+02,1.394950981729401640e+01,8.470665084641378684e+00,2.580299300237815885e+01,1.919716334914753020e+01,1.656376381448797019e+01,7.635121260146591737e+01,1.121327205760495787e+02,1.311890934578545931e+01,4.231162643105335519e+01,7.217618867966956842e+00,1.239245492570367624e+01,3.034075119890964345e+01,1.576898557004408907e+01,6.345815241589184552e+01
1.253996165435642673e+01,1.443756420513692262e+01,2.535273122661891065e+01,9.224434283868312434e+01,2.651418363883844620e+01,1.516362327713845737e+01,6.778472728508691425e+00,1.083649698194513356e+01,1.451060253245995852e+02,1.841601637861666418e+01,2.122679506801216007e+02,8.536723673443404437e+01,8.829473423956715195e+00,1.602978700902007745e+02,8.160148525640062545e+00,9.003903175072991871e+00,2.167972155797508904e+01,6.165944400089906630e+00,1.175907363672078176e+01,9.402519740169026363e+00,6.800682989819642366e+00,2.009309820024871485e+01,1.601686791630677220e+01,4.064003667935427444e+01,5.176038652762817094e+01,1.120383257861338144e+01,9.119768635169247517e+00,2.339631519160951996e+02,1.791446468381987955e+01,7.588692882214600033e+00,2.800946904866480480e+01,1.084978793224542848e+01,3.295689272668358427e+01,6.221728755195827176e+01,1.967863226232205420e+01,1.052760982672701218e+01,3.916014697551219825e+01,1.281374124822801441e+01,1.456520838008096241e+01,1.063011256056459075e+01,3.283484814413049691e+01,9.643961978077708608e+00,1.249008528149904862e+01,2.015732991215194048e+01,1.503172144192685344e+01,2.153113453293268265e+01,2.999134616407716081e+01,1.632131003644981959e+01,6.701023767049721691e+00,3.318029839370898344e+02
1.421095347998362790e+01,2.329779540740607402e+01,3.852979426086034920e+01,1.903547382724995884e+01,6.494810834073485140e+00,6.274389667924472747e+01,2.057297341756953557e+01,2.117272484634271734e+01,1.433022322485227917e+01,5.526724807847176635e+01,1.253638733507673209e+01,2.959772629012642753e+01,6.810803611927614298e+00,1.547868017863022061e+01,8.982432137062867028e+00,5.666980945980514939e+00,1.120108956305630699e+01,5.169738772604537047e+01,1.073824674343695449e+02,1.688957184874577422e+01,3.262987603346841325e+01,5.534620851779863671e+01,8.566185049225691017e+00,1.057765750209354039e+01,1.401323502731423964e+01,1.098186143885874344e+01,6.423462543071506659e+00,3.357554360347171496e+01,2.254313461133113350e+01,4.232231213051545637e+01,4.160218830472135920e+01,6.610462265036228580e+00,4.692550236051022239e+01,6.185571476659077916e+01,2.095538938339398172e+01,3.764220151050910346e+01,2.005572999957150415e+01,1.905548498893793763e+01,9.702816141287028984e+01,2.349086465178958605e+01,1.307645496571345056e+01,1.757343817893984550e+01,1.013944469000657378e+01,2.645057848011352775e+01,2.706775779860475595e+01,2.003277768348771559e+01,3.535694391177398188e+01,1.365254453279177227e+01,2.227831705584246080e+01,1.659749574302400532e+01
7.672072932789943955e+00,1.591463189038512382e+01,2.486791580856030137e+01,1.898447480392953253e+02,8.513640001285356362e+00,6.570789872994917005e+02,1.798310695313668361e+01,3.743788970487553911e+02,2.523218294908317816e+01,6.743387749111666274e+00,1.453321062775370720e+01,1.748468832588627464e+01,2.625546737375884732e+01,1.024132126887408276e+02,8.078640905862427246e+01,1.863694548487515235e+01,6.767814663885215687e+00,4.776835585323596689e+01,9.661331905178967006e+00,1.440830941581492830e+01,1.866089851363786778e+01,9.186939179809360922e+00,7.174279466398363070e+01,1.079471938334808989e+01,9.179885253086458974e+00,7.031466957128349904e+00,3.598991158306569815e+01,1.302193124168870320e+01,4.419531510133933949e+01,2.178140105992459326e+02,8.464543989618446673e+00,3.651314902359771963e+01,2.738194335203519714e+01,2.179565089633834063e+01,1.576814441048841076e+01,2.309040212223904973e+02,5.307157499091470498e+00,1.099983515358223762e+01,6.743771884790790239e+01,6.357206531169143915e+01,2.166817499191399676e+01,6.178893353384511400e+00,3.042226317667711655e+01,1.323126426660447663e+01,1.016931873059770197e+01,8.636367895231751746e+00,3.658551110239822890e+01,4.785572185608973683e+01,3.165275260720839512e+01,2.344036509694156223e+01
7.060162999738890832e+00,5.016208437794173136e+00,5.827534817358580810e+00,3.306476990782131509e+01,4.513588241003841262e+01,2.460523375374275474e+02,3.490316286480392449e+01,4.159768255904300815e+01,4.024859978417116224e+01,3.358870156240382698e+01,1.639464818200563201e+01,2.733500110858896548e+01,1.404017910436721479e+02,1.707513102356042722e+01,2.123633347404858540e+01,1.247455587984490322e+01,1.151937350099678703e+01,5.329542464952073288e+00,5.312960795759244803e+01,5.314066604761573132e+01,1.212528489960775318e+02,5.018492273433878381e+00,4.150592344848895721e+01,7.426401874535794256e+00,2.730027731584286599e+01,1.293655110014486986e+01,1.047928354055657962e+01,4.295408190252499594e+02,4.593284008028779652e+01,5.662106196714278283e+00,2.164943031682012275e+01,7.453292086207673250e+00,9.804361498161336286e+00,1.080982594434511235e+01,7.980826646950662351e+00,3.772142896428950110e+01,4.629117437551317948e+01,1.162253071110889557e+01,6.695911858765120073e+00,1.286657684450733363e+01,2.122691967981246819e+01,1.652492294146919249e+01,4.188121436486160754e+00,4.266558884262975937e+01,1.822083613433423466e+01,9.145448962303087015e+00,5.554926419433600771e+00,2.176591133903611919e+01,8.934692909261627847e+00,6.652749227037156210e+00
