index,value
0,253.186
1,297.245
2,309.044
3,329.027
4,267.711
5,346.913
6,242.76
7,260.044
8,142.54
9,73.3451
10,140.404
11,78.8825
12,41.5143
13,80.265
14,35.4353
15,81.397
16,122.786
17,116.887
18,49.5869
19,126.266
20,42.2329
21,55.1074
22,0.897002
23,120.086
24,32.1692
25,11.9589
26,4.51811
27,20.3329
28,78.8961
29,58.58
30,39.8047
31,12.3021
32,98.1621
33,31.4948
34,77.6448
35,127.209
36,64.9004
37,27.6715
38,79.7159
39,0.727008
40,123.591
41,5.27537
42,82.72
43,99.9764
44,93.1902
45,82.3632
46,39.1395
47,7.28951
48,25.4245
49,98.3329
50,141.983
51,124.282
52,61.7606
53,0.245478
54,2.5621
55,95.1348
56,29.4007
57,132.091
