index,value
0,74.9597
1,68.3141
2,42.2055
3,58.927
4,52.298
5,62.9926
6,46.0135
7,68.9515
8,181.298
9,77.5532
10,157.241
11,75.9444
12,170.592
13,39.174
14,5.91902
15,0
16,157.392
17,184.078
18,100.545
19,131.142
20,3.90678
21,44.4032
22,94.8527
23,45.5243
24,43.6753
25,23.3776
26,2.71719
27,16.3808
28,213.567
29,76.4827
30,133.344
31,162.642
32,16.776
33,190.413
34,254.063
35,90.8906
36,284.031
37,99.0699
38,11.8122
39,143.338
40,7.95342
41,46.3185
42,125.062
43,191.159
44,154.489
45,59.7208
46,135.164
47,156.103
48,275.847
49,49.7181
50,8.75014
51,0
52,46.9602
53,65.1608
54,190.463
55,223.798
56,139.292
57,53.4796
