index,value
0,51.1695
1,73.7255
2,83.4545
3,21.5385
4,66.043
5,121.009
6,71.9283
7,51.0722
8,91.7006
9,131.904
10,203.583
11,132.631
12,197.412
13,6.24204
14,11.0413
15,62.6342
16,141.343
17,68.353
18,228.919
19,11.5203
20,118.161
21,73.7621
22,77.0492
23,10.2263
24,102.443
25,24.2963
26,148.988
27,9.7999
28,248.765
29,234.716
30,115.008
31,13.754
32,47.9863
33,235.867
34,37.279
35,72.5409
36,281.949
37,251.354
38,21.1969
39,225.814
40,225.339
41,79.7724
42,229.254
43,307.795
44,0.0140233
45,65.246
46,180.81
47,40.148
48,119.526
49,78.5868
50,183.325
51,134.329
52,52.0725
53,64.7624
54,266.852
55,162.521
56,148.405
57,166.506
