index,value
0,257.124
1,294.828
2,341.173
3,245.994
4,272.687
5,282.747
6,249.904
7,237.039
8,75.7906
9,172.369
10,51.4125
11,155.297
12,73.6801
13,69.1433
14,97.91
15,68.8854
16,21.3193
17,121.723
18,0
19,51.7087
20,53.5995
21,113.605
22,0
23,57.942
24,59.4894
25,98.4359
26,103.884
27,0.517033
28,9.36855
29,103.833
30,131.789
31,44.4159
32,54.5769
33,130.339
34,52.9732
35,122.371
36,5.39466
37,35.5516
38,13.0216
39,46.7609
40,86.126
41,69.8597
42,89.2756
43,0.977225
44,135.783
45,73.0414
46,113.374
47,64.8472
48,0.384007
49,44.3484
50,125.751
51,178.631
52,43.5868
53,56.3404
54,79.747
55,125.894
56,55.8853
57,25.1784
