index,value
0,439.943
1,291.699
2,311.675
3,273.397
4,230.438
5,316.433
6,318.757
7,416.564
8,125.31
9,67.0514
10,32.3297
11,148.379
12,130.656
13,88.6236
14,48.946
15,85.9604
16,13.2079
17,36.9033
18,43.5964
19,97.003
20,48.2984
21,165.509
22,40.6041
23,83.7833
24,58.2148
25,9.0629
26,34.7676
27,133.211
28,172.313
29,97.4334
30,0.931664
31,67.5207
32,18.6605
33,40.0051
34,166.275
35,36.6602
36,73.2881
37,127.206
38,27.5694
39,72.5014
40,61.0773
41,0.075
42,33.6933
43,50.3997
44,96.0857
45,0
46,114.091
47,128.724
48,64.6091
49,86.9262
50,49.7687
51,51.8731
52,130.084
53,12.0657
54,0.69127
55,128.055
56,24.8874
57,49.154
