index,value
0,268.15
1,266.899
2,378.589
3,272.657
4,290.876
5,224.395
6,192.924
7,245.129
8,278.676
9,50.141
10,110.46
11,121.142
12,6.6186
13,43.0342
14,42.4649
15,177.879
16,37.2786
17,53.5087
18,107.208
19,19.3248
20,51.2937
21,0
22,133.945
23,45.749
24,1.74074
25,228.646
26,54.7668
27,144.14
28,36.4937
29,0
30,73.3234
31,35.0843
32,121.111
33,27.8116
34,38.542
35,57.753
36,104.166
37,118.94
38,0.0484746
39,80.1354
40,53.7466
41,210.561
42,47.5461
43,12.7175
44,74.9339
45,68.3141
46,99.5954
47,151.438
48,21.3728
49,69.5535
50,97.5355
51,0
52,31.9501
53,98.3972
54,110.322
55,186.926
56,70.449
57,95.0682
