index,value
0,29.9518
1,30.1769
2,97.4903
3,35.4214
4,82.6805
5,100.703
6,73.9504
7,51.5484
8,10.6502
9,24.7147
10,125.89
11,231.309
12,155.634
13,24.9757
14,216.51
15,53.3311
16,126.525
17,102.183
18,14.0658
19,55.8039
20,29.5357
21,119.317
22,270.61
23,6.31425
24,296.429
25,0.0385866
26,112.46
27,202.939
28,33.5625
29,71.3867
30,134.666
31,198.787
32,130.826
33,84.6553
34,71.3896
35,144.37
36,246.553
37,6.83106
38,152.971
39,306.622
40,4.98517
41,220.24
42,303.548
43,99.3259
44,167.11
45,45.9335
46,179.206
47,140.129
48,237.808
49,250.823
50,233.962
51,28.3726
52,100.145
53,140.104
54,1.42898
55,26.2372
56,121.452
57,170.675
