index,value
0,296.924
1,354.675
2,324.003
3,319.989
4,345.218
5,409.777
6,307.058
7,330.616
8,47.4458
9,81.7079
10,24.3398
11,102.495
12,206.947
13,72.2562
14,40.3048
15,31.0889
16,60.1136
17,36.6247
18,55.187
19,2.71603
20,75.3301
21,80.7207
22,61.6652
23,63.7369
24,1.76757
25,5.7345
26,0
27,129.355
28,59.4205
29,66.8387
30,0
31,19.0624
32,0.0645161
33,25.9046
34,73.8547
35,56.9062
36,0
37,71.808
38,0
39,6.75394
40,11.5575
41,135.827
42,29.6359
43,75.4147
44,0.97697
45,67.2011
46,38.4921
47,92.979
48,76.6167
49,54.6575
50,102.753
51,85.5392
52,59.811
53,47.0808
54,68.9431
55,48.2468
56,0
57,40.5565
