index,value
0,14.4151
1,25.0793
2,84.229
3,65.5481
4,60.8912
5,46.5902
6,46.486
7,37.9982
8,1.93024
9,8.6844
10,27.6391
11,74.2814
12,101.18
13,221.909
14,3.36422
15,0
16,15.0274
17,3.86306
18,0.0416667
19,175.093
20,87.3553
21,25.7186
22,60.2817
23,223.586
24,178.118
25,128.897
26,0.166667
27,267.144
28,164.397
29,202.826
30,221.696
31,249.232
32,8.56128
33,170.674
34,32.0549
35,96.3857
36,0
37,78.1187
38,256.276
39,129.279
40,197.153
41,0.339099
42,11.3722
43,167.454
44,44.8155
45,202.641
46,87.9562
47,182.736
48,51.272
49,41.0392
50,127.907
51,180.801
52,175.645
53,5.67315
54,352.93
55,117.03
56,185.697
57,29.8916
