index,value
0,260.48
1,286.929
2,260.572
3,245.958
4,241.383
5,171.439
6,194.295
7,268.143
8,84.5561
9,96.3258
10,187.931
11,98.6948
12,0
13,167.492
14,0.202641
15,108.893
16,60.3318
17,34.4405
18,134.35
19,0.25
20,74.7223
21,68.3295
22,8.17671
23,31.5721
24,170.417
25,145.42
26,31.2987
27,51.4038
28,127.87
29,81.0188
30,84.7771
31,119.851
32,0
33,68.0006
34,5.32274
35,122.004
36,90.4836
37,122.566
38,149.098
39,31.3704
40,77.8703
41,76.5682
42,94.563
43,5.55698
44,106.812
45,119.678
46,98.3461
47,85.5065
48,82.3028
49,57.0749
50,135.354
51,50.0123
52,52.6668
53,1.23235
54,68.7798
55,113.166
56,136.007
57,79.4865
