index,value
0,44.5753
1,24.2223
2,10.8742
3,25.6747
4,36.9588
5,55.8559
6,88.635
7,71.1854
8,17.901
9,31.8405
10,189.493
11,57.8547
12,130.677
13,47.7657
14,7.58446
15,193.836
16,61.9696
17,163.324
18,11.8056
19,275.455
20,34.3637
21,222.501
22,66.7531
23,293.765
24,223.924
25,70.9843
26,107.709
27,51.6819
28,35.0058
29,64.7452
30,95.2617
31,183.529
32,227.802
33,38.6392
34,98.0118
35,0
36,135.046
37,108.797
38,72.3449
39,139.098
40,162.694
41,160.581
42,0.379243
43,0
44,128.513
45,3.72612
46,120.646
47,29.0319
48,49.3477
49,271.458
50,0
51,136.698
52,187.171
53,153.219
54,186.428
55,159.819
56,0
57,30.1263
