index,value
0,30.5961
1,51.8866
2,49.2135
3,44.9679
4,59.634
5,75.7433
6,59.0127
7,46.9015
8,94.1286
9,197.858
10,245.003
11,117.096
12,159.984
13,153.25
14,52.4927
15,84.9931
16,173.232
17,178.067
18,60.0427
19,139.248
20,98.8687
21,9.52704
22,2.82881
23,35.8745
24,184.361
25,179.882
26,16.1363
27,71.1957
28,22.7061
29,22.2823
30,301.574
31,57.3612
32,0
33,38.4605
34,261.848
35,171.815
36,169.952
37,8.08187
38,58.2098
39,0.793519
40,126.83
41,224.117
42,74.6108
43,0
44,124.351
45,36.2082
46,159.43
47,47.1728
48,68.4512
49,46.3993
50,34.9703
51,112.502
52,35.5495
53,143.658
54,120.076
55,219.687
56,0.747101
57,123.69
