index,value
0,66.7361
1,73.5229
2,61.9471
3,20.269
4,73.0943
5,81.0499
6,83.2325
7,139.511
8,0
9,63.5279
10,16.089
11,1.00706
12,86.3835
13,223.815
14,113.627
15,131.109
16,153.198
17,28.6976
18,113.425
19,79.4539
20,21.8276
21,4.68881
22,171.403
23,171.833
24,119.784
25,47.4008
26,211.03
27,179.388
28,284.469
29,58.7175
30,234.146
31,176.514
32,118.635
33,159.148
34,78.5979
35,74.4577
36,68.4874
37,144.103
38,159.052
39,4.78719
40,352.39
41,151.205
42,166.572
43,167.967
44,199.391
45,166.022
46,230.743
47,91.2839
48,155.231
49,224.202
50,10.2379
51,23.7755
52,132.024
53,134.435
54,75.2284
55,0.196466
56,25.3619
57,201.876
