index,value
0,271.703
1,207.843
2,169.217
3,193.379
4,187.063
5,308.573
6,328.104
7,346.381
8,0
9,125.219
10,54.2775
11,136.796
12,0.854414
13,23.9885
14,102.887
15,24.4075
16,86.9197
17,2.86667
18,81.7181
19,96.1777
20,42.9171
21,97.4631
22,162.067
23,135.612
24,56.9123
25,68.2072
26,63.5239
27,117.643
28,0
29,110.312
30,32.4009
31,0.882799
32,0
33,22.3804
34,93.2739
35,60.8627
36,160.447
37,94.0255
38,105.819
39,29.4852
40,0
41,87.5135
42,90.9211
43,105.046
44,18.6619
45,95.0812
46,48.5732
47,27.9997
48,71.4656
49,99.8512
50,104.21
51,27.4221
52,91.9667
53,26.4242
54,120.229
55,18.5213
56,44.7052
57,17.6815
