index,value
0,282.54
1,468.547
2,368.22
3,374.398
4,444.405
5,362.374
6,309.754
7,281.438
8,60.7797
9,0
10,104.705
11,258.832
12,143.292
13,79.7185
14,4.8301
15,44.5155
16,218.726
17,121.235
18,42.9082
19,0.821772
20,30.2247
21,31.9887
22,1.6626
23,105.795
24,156.89
25,138.051
26,97.9502
27,13.1134
28,6.89729
29,116.903
30,94.544
31,152.298
32,67.9846
33,105.39
34,48.3574
35,115.577
36,90.6518
37,37.956
38,59.9257
39,65.5557
40,78.7826
41,0
42,102.1
43,133.527
44,41.0602
45,177.797
46,54.8003
47,52.2854
48,117.198
49,75.2626
50,23.118
51,58.314
52,165.887
53,60.9044
54,73.3999
55,0.0593222
56,32.7715
57,86.7425
