index,value
0,51.8812
1,36.5057
2,52.886
3,33.2803
4,57.4321
5,92.451
6,39.9104
7,87.2801
8,166.503
9,163.046
10,230.89
11,26.1854
12,102.509
13,248.598
14,22.765
15,20.9686
16,198.865
17,26.2464
18,89.8779
19,285.037
20,17.8785
21,158.52
22,71.8372
23,0.5
24,0
25,191.462
26,271.257
27,26.9191
28,4.41817
29,231.109
30,10.9123
31,77.9952
32,109.192
33,175.997
34,255.383
35,201.937
36,117.641
37,62.7765
38,44.432
39,203.239
40,0
41,45.8213
42,120.916
43,102.34
44,3.77013
45,177.571
46,22.9431
47,0.296774
48,152.851
49,189.287
50,61.9123
51,28.369
52,91.0432
53,2.48584
54,0
55,94.1811
56,91.0994
57,166.745
