index,value
0,299.409
1,245.792
2,269.209
3,241.996
4,262.188
5,383.574
6,343.675
7,443.323
8,37.3381
9,37.7544
10,0.307692
11,45.0946
12,100.86
13,6.59878
14,171.069
15,114.027
16,56.33
17,3.90801
18,80.0934
19,51.8718
20,54.9555
21,45.0535
22,95.5832
23,59.9972
24,39.2396
25,88.2424
26,5.59461
27,78.7029
28,44.8263
29,72.1935
30,18.6326
31,75.2606
32,63.4894
33,56.2729
34,33.2538
35,0
36,69.5116
37,0
38,22.3864
39,3.47325
40,12.2439
41,43.6903
42,4.88252
43,22.3984
44,72.6068
45,42.41
46,98.6343
47,173.663
48,124.606
49,57.5695
50,215.675
51,5.39841
52,53.901
53,51.2508
54,33.6595
55,73.9217
56,32.7511
57,42.2497
