index,value
0,258.24
1,252.062
2,253.637
3,440.407
4,371.998
5,390.559
6,345.62
7,229.075
8,62.5452
9,37.6596
10,76.7781
11,31.2182
12,70.7373
13,47.1679
14,107.897
15,11.5853
16,15.4466
17,90.4884
18,137.01
19,34.5933
20,0
21,52.6326
22,56.3677
23,75.4138
24,12.3529
25,72.0936
26,234.404
27,78.3908
28,64.747
29,43.1022
30,54.0928
31,40.9245
32,24.7172
33,74.9186
34,72.9135
35,0
36,44.1011
37,15.3234
38,9.68312
39,67.7277
40,134.816
41,33.1122
42,37.5087
43,57.7939
44,64.3043
45,0.733333
46,93.349
47,0
48,69.9062
49,86.582
50,33.3447
51,111.925
52,5.33642
53,24.3384
54,175.512
55,110.744
56,38.8936
57,58.2923
