index,value
0,52.762
1,115.11
2,107.527
3,100.17
4,85.6979
5,62.9919
6,45.9097
7,18.3876
8,246.189
9,225.717
10,51.7786
11,1.89205
12,199.409
13,61.6543
14,275.971
15,6.77198
16,174.478
17,203.411
18,4.81817
19,0.12094
20,196.731
21,60.4355
22,121.969
23,60.9249
24,2.56308
25,234.262
26,138.029
27,234.396
28,39.5561
29,32.4532
30,18.1984
31,1.50678
32,65.1027
33,61.076
34,274.466
35,44.5925
36,0.25
37,204.527
38,257.499
39,58.7562
40,85.4024
41,62.7144
42,271.521
43,32.8585
44,201.083
45,37.5055
46,287.168
47,151.198
48,195.775
49,57.2315
50,199.385
51,20.9976
52,161.866
53,16.1266
54,234.779
55,129.622
56,90.05
57,59.259
