index,value
0,430.433
1,365.526
2,324.357
3,227.449
4,187.6
5,174.317
6,243.698
7,388.495
8,93.7914
9,66.7592
10,29.0475
11,27.2589
12,0
13,5.60576
14,56.9612
15,1.16667
16,31.3827
17,62.1768
18,19.6528
19,47.3722
20,0
21,61.4035
22,75.2952
23,72.625
24,0.487734
25,1.61238
26,108.414
27,60.2513
28,41.1315
29,21.1437
30,51.2549
31,110.05
32,133.94
33,91.7659
34,180.972
35,72.898
36,55.9998
37,30.4694
38,137.086
39,35.6812
40,88.3941
41,34.365
42,108.205
43,99.2046
44,62.0174
45,102.614
46,7.53333
47,99.2117
48,6.03413
49,13.1006
50,32.7063
51,115.276
52,40.4078
53,96.2128
54,42.3108
55,35.6832
56,4.4
57,52.2388
