index,value
0,311.765
1,290.518
2,288.457
3,368.215
4,312.988
5,363.503
6,389.457
7,338.18
8,37.2431
9,107.575
10,69.5925
11,49.6158
12,35.8602
13,163.928
14,209.762
15,9.96812
16,0
17,68.3591
18,81.0108
19,68.1911
20,95.3645
21,202.141
22,58.3069
23,3.23828
24,0.032394
25,29.7293
26,2.70877
27,49.9182
28,27.7435
29,39.6107
30,128.903
31,50.4071
32,43.9529
33,55.3868
34,90.819
35,0
36,88.4365
37,85.0688
38,18.6837
39,49.4899
40,51.9405
41,71.3319
42,172.337
43,24.2983
44,21.5722
45,0
46,44.3741
47,137.198
48,19.1802
49,106.779
50,13.148
51,95.9779
52,96.3856
53,107.596
54,55.0089
55,1.37493
56,116.212
57,37.9366
