index,value
0,33.7775
1,41.6757
2,38.4453
3,70.9938
4,78.0837
5,44.2898
6,7.74579
7,54.5281
8,36.6791
9,235.252
10,113.963
11,154.081
12,2.56466
13,101.025
14,19.1744
15,77.1443
16,138.205
17,84.1474
18,24.0811
19,63.9989
20,103.95
21,69.9513
22,8.58515
23,184.937
24,59.6266
25,80.243
26,183.54
27,0
28,66.1247
29,258.345
30,5.69025
31,256.777
32,0
33,75.0839
34,129.863
35,12.1441
36,188.731
37,138.286
38,161.39
39,215.727
40,28.3788
41,128.305
42,56.8088
43,4.07867
44,235.182
45,156.885
46,240.769
47,1.47333
48,123.416
49,4.27972
50,165.562
51,118.408
52,170.827
53,0.312427
54,116.002
55,200.13
56,63.0509
57,90.3082
