index,value
0,212.153
1,211.682
2,169.048
3,199.387
4,167.541
5,218.64
6,135.44
7,192.341
8,11.8636
9,70.0178
10,222.827
11,51.5078
12,24.7898
13,3.82965
14,114.228
15,78.7596
16,175.174
17,27.912
18,155.258
19,88.9153
20,19.7506
21,1.17231
22,55.6396
23,160.706
24,138.893
25,32.4831
26,48.6348
27,38.7851
28,114.544
29,55.2583
30,163.665
31,160.23
32,140.282
33,105.145
34,120.842
35,10.6084
36,51.5122
37,81.205
38,101.698
39,86.3512
40,115.029
41,144.623
42,145.068
43,28.2676
44,10.6143
45,85.2905
46,125.932
47,197.751
48,98.5677
49,90.7823
50,95.3809
51,14.6405
52,147.34
53,0.11785
54,57.4072
55,166.43
56,91.4568
57,57.6553
