291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,483,424,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,443,438,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,483,424,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405,483,424,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,443,438,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405,483,424,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,132,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,483,424,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,132,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,443,438,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,132,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405,483,424,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,606,607,330,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,483,424,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,606,607,330,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,443,438,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,606,607,330,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405,483,424,430,423
291,693,745,695,694,689,684,698,697,389,561,93,84,83,634,299,82,300,302,571,303,304,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,402,445,443,438,436,423
