80,79,77,75,74,52
80,78,77,75,74,52
80,78,89,75,74,52
80,78,89,53,74,52
80,78,89,53,51,52
80,78,90,101,89,75,74,52
80,78,90,101,89,53,74,52
80,78,90,101,89,53,51,52
80,92,90,101,89,75,74,52
80,78,89,101,88,48,51,52
80,78,89,101,88,53,74,52
80,92,90,101,89,53,74,52
80,78,89,101,88,53,51,52
80,92,90,101,89,53,51,52
80,79,77,78,89,75,74,52
80,79,77,78,89,53,74,52
80,79,77,78,89,53,51,52
80,79,77,75,89,53,74,52
80,79,77,75,89,53,51,52
80,92,90,78,77,75,74,52
80,78,77,75,89,53,74,52
80,78,77,75,89,53,51,52
80,92,90,78,89,75,74,52
80,79,77,75,74,53,51,52
80,78,77,75,74,53,51,52
80,92,90,78,89,53,74,52
80,92,90,78,89,53,51,52
80,78,89,75,74,53,51,52
80,78,90,101,88,48,51,52
80,78,90,101,88,53,74,52
80,78,90,101,88,53,51,52
80,78,89,53,88,48,51,52
80,91,81,79,77,75,74,52
80,79,125,124,76,56,74,52
80,79,77,75,74,56,55,52
80,79,125,124,76,56,55,52
80,78,77,75,74,56,55,52
80,78,89,75,74,56,55,52
80,79,125,124,76,75,74,52
80,78,89,53,74,56,55,52
80,79,77,75,76,56,74,52
80,79,77,124,76,56,74,52
80,78,77,75,76,56,74,52
80,78,77,124,76,56,74,52
80,79,77,75,76,56,55,52
80,79,77,124,76,56,55,52
80,92,90,101,88,48,51,52
80,92,90,101,88,53,74,52
80,92,90,101,88,53,51,52
80,78,77,75,76,56,55,52
80,78,77,124,76,56,55,52
80,79,125,124,77,75,74,52
80,78,89,75,76,56,74,52
80,78,89,53,51,70,54,52
80,78,89,75,76,56,55,52
80,79,77,124,76,75,74,52
80,78,77,124,76,75,74,52
80,78,89,53,51,70,621,595,71,54,52
80,78,89,53,51,70,621,595,625,73,71,54,52
80,79,77,78,90,101,89,75,74,52
80,79,77,78,90,101,89,53,74,52
80,79,77,78,90,101,89,53,51,52
80,78,90,101,89,75,74,53,51,52
80,79,77,78,89,101,88,48,51,52
80,79,77,78,89,101,88,53,74,52
80,79,77,78,89,101,88,53,51,52
80,78,89,101,88,48,51,53,74,52
80,78,90,101,89,53,88,48,51,52
80,79,77,75,89,101,88,48,51,52
80,79,77,75,89,101,88,53,74,52
80,79,77,75,89,101,88,53,51,52
80,78,77,75,89,101,88,48,51,52
80,78,77,75,89,101,88,53,74,52
80,78,77,75,89,101,88,53,51,52
80,78,90,101,89,75,74,56,55,52
80,92,103,102,90,101,89,75,74,52
80,92,90,78,89,101,88,48,51,52
80,92,90,78,89,101,88,53,74,52
80,92,90,78,89,101,88,53,51,52
80,78,90,101,89,53,74,56,55,52
80,92,103,102,90,101,89,53,74,52
80,92,103,102,90,101,89,53,51,52
80,92,90,101,89,75,74,53,51,52
80,92,90,101,89,53,88,48,51,52
80,91,104,92,90,101,89,75,74,52
80,78,90,101,89,75,76,56,74,52
80,78,90,101,89,53,51,70,54,52
80,92,90,101,89,78,77,75,74,52
80,78,90,101,89,75,76,56,55,52
80,91,104,92,90,101,89,53,74,52
80,91,104,92,90,101,89,53,51,52
80,92,90,101,89,75,74,56,55,52
80,78,89,101,88,53,74,56,55,52
80,92,90,101,89,53,74,56,55,52
80,79,125,124,126,391,76,56,74,52
80,78,89,101,88,49,47,48,51,52
80,79,125,124,126,391,76,56,55,52
80,79,77,78,89,75,74,53,51,52
80,79,125,127,126,391,76,56,74,52
80,79,77,78,90,101,88,48,51,52
80,79,77,78,90,101,88,53,74,52
80,79,77,78,90,101,88,53,51,52
80,78,89,101,88,48,51,70,54,52
80,79,77,78,89,53,88,48,51,52
80,92,90,101,89,75,76,56,74,52
80,78,90,101,88,48,51,53,74,52
80,78,89,101,88,53,51,70,54,52
80,79,125,124,126,391,76,75,74,52
80,79,125,127,126,124,76,56,74,52
