179,181,329,327,328,589,674,753,727,579,577,392,72,57,55,52,51,48,47,479,492
179,181,495,569,570,301,394,299,82,81,79,77,78,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,81,79,77,78,89,101,88,49,47,479,492
179,181,495,569,570,301,394,299,82,125,79,77,78,89,101,88,49,47,479,492
179,181,495,569,570,301,394,299,82,81,79,77,78,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,81,79,77,75,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,125,79,77,78,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,81,79,77,78,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,125,79,77,78,89,101,88,48,47,479,492
179,612,495,569,570,301,394,299,82,81,79,77,75,89,101,88,49,47,479,492
179,181,495,569,570,301,394,299,82,125,79,77,75,89,101,88,49,47,479,492
179,181,495,304,132,130,576,727,579,577,392,72,57,55,52,51,48,47,479,492
179,181,495,569,570,301,394,299,82,81,79,77,75,89,101,88,48,47,479,492
179,612,495,569,570,301,394,299,82,125,79,77,78,89,101,88,48,47,479,492
179,612,495,569,570,301,394,299,82,125,79,77,75,89,101,88,49,47,479,492
179,612,495,304,132,130,576,727,579,577,392,72,57,55,52,51,48,47,479,492
179,612,495,569,570,301,394,299,82,81,79,77,75,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,125,79,77,75,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,125,124,76,75,89,101,88,49,47,479,492
179,181,329,304,132,130,576,727,579,577,392,72,57,55,52,51,48,47,479,492
179,181,329,327,132,130,576,727,579,577,392,72,57,55,52,51,48,47,479,492
179,612,495,569,570,301,394,299,82,125,79,77,75,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,81,79,80,78,89,101,88,49,47,479,492
179,612,567,569,570,301,394,299,82,81,79,77,78,89,101,88,49,47,479,492
179,181,329,327,328,130,576,727,579,577,392,72,57,55,52,51,48,47,479,492
179,181,495,569,570,301,394,299,82,81,91,80,78,89,101,88,49,47,479,492
179,181,495,569,570,301,394,299,82,125,124,77,78,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,125,124,76,75,89,101,88,49,47,479,492
179,181,495,569,570,301,394,299,82,125,124,76,75,89,101,88,48,47,479,492
179,181,329,327,328,589,576,727,579,577,392,72,57,55,52,51,48,47,479,492
179,612,495,569,570,301,394,299,82,81,79,80,78,89,101,88,49,47,479,492
179,181,495,569,570,301,394,299,82,125,79,80,78,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,81,91,80,78,89,101,88,49,47,479,492
179,612,567,569,570,301,394,299,82,125,79,77,78,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,125,124,77,78,89,101,88,49,47,479,492
179,181,495,569,570,301,394,299,82,81,79,80,78,89,101,88,48,47,479,492
179,612,567,569,570,301,394,299,82,81,79,77,78,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,81,91,80,78,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,125,124,77,78,89,101,88,48,47,479,492
179,612,495,569,570,301,394,299,82,125,124,76,75,89,101,88,48,47,479,492
179,612,567,569,570,301,394,299,82,81,79,77,75,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,125,79,80,78,89,101,88,49,47,479,492
179,181,495,569,570,301,394,299,82,125,124,77,75,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,81,79,80,78,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,125,79,80,78,89,101,88,48,47,479,492
179,612,495,569,570,301,394,299,82,81,91,80,78,89,101,88,48,47,479,492
179,612,567,569,570,301,394,299,82,125,79,77,78,89,101,88,48,47,479,492
179,612,495,569,570,301,394,299,82,125,124,77,78,89,101,88,48,47,479,492
179,612,567,569,570,301,394,299,82,125,79,77,75,89,101,88,49,47,479,492
179,612,495,569,570,301,394,299,82,125,124,77,75,89,101,88,49,47,479,492
179,612,567,569,570,301,394,299,82,81,79,77,75,89,101,88,48,47,479,492
179,612,495,569,570,301,394,299,82,125,79,80,78,89,101,88,48,47,479,492
179,181,495,569,570,301,394,299,82,125,124,77,75,89,101,88,48,47,479,492
179,181,495,569,570,301,394,634,83,84,93,298,388,295,324,700,660,387,701,479,492
179,612,567,569,570,301,394,299,82,125,79,77,75,89,101,88,48,47,479,492
179,612,495,569,570,301,394,299,82,125,124,77,75,89,101,88,48,47,479,492
179,612,567,569,570,301,394,299,82,125,124,76,75,89,101,88,49,47,479,492
179,612,495,569,570,301,394,634,83,84,93,298,388,295,324,700,660,387,701,479,492
179,181,495,569,570,301,394,634,83,84,93,298,388,295,324,700,660,387,701,46,480,492
179,612,567,569,570,301,394,299,82,81,79,80,78,89,101,88,49,47,479,492
179,612,567,569,570,301,394,299,82,81,91,80,78,89,101,88,49,47,479,492
179,612,567,569,570,301,394,299,82,125,124,77,78,89,101,88,49,47,479,492
179,612,567,569,570,301,394,299,82,125,124,76,75,89,101,88,48,47,479,492
