136,133,134,608,606,457,180
136,133,135,331,608,606,457,180
136,280,135,331,608,606,457,180
136,133,135,330,607,606,457,180
136,280,135,330,607,606,457,180
136,133,135,331,607,606,457,180
136,280,135,331,607,606,457,180
136,280,462,330,607,606,457,180
136,133,135,330,456,457,180
136,280,135,330,456,457,180
136,280,462,284,456,457,180
136,280,462,330,456,457,180
136,133,135,330,456,458,605,180
136,133,134,608,327,329,606,457,180
136,133,134,608,606,329,181,457,180
136,280,135,330,456,458,605,180
136,133,134,328,327,329,606,457,180
136,133,134,608,327,329,181,457,180
136,133,134,328,327,608,606,457,180
136,133,134,328,327,329,181,457,180
136,133,134,608,606,329,181,179,180
136,133,134,608,327,329,181,179,180
136,133,134,328,327,329,181,179,180
136,133,134,608,606,457,181,179,180
136,280,462,284,456,458,605,180
136,280,462,330,456,458,605,180
136,133,135,331,608,327,329,606,457,180
136,133,135,331,608,606,329,181,457,180
136,133,135,331,608,327,329,181,457,180
136,133,135,331,608,606,329,181,179,180
136,133,135,331,608,327,329,181,179,180
136,280,135,331,608,327,329,606,457,180
136,280,135,331,608,606,329,181,457,180
136,280,135,331,608,327,329,181,457,180
136,280,135,331,608,606,329,181,179,180
136,133,135,330,607,606,329,181,457,180
136,280,135,331,608,327,329,181,179,180
136,133,135,331,608,606,457,181,179,180
136,133,135,330,607,606,329,181,179,180
136,280,135,330,607,606,329,181,457,180
136,280,135,331,608,606,457,181,179,180
136,280,135,330,607,606,329,181,179,180
136,133,135,331,607,606,329,181,457,180
136,133,135,330,607,606,457,181,179,180
136,133,135,331,607,606,329,181,179,180
136,280,135,331,607,606,329,181,457,180
136,280,135,330,607,606,457,181,179,180
136,280,135,331,607,606,329,181,179,180
136,133,135,331,607,606,457,181,179,180
136,280,462,330,607,606,329,181,457,180
136,280,462,284,713,712,458,605,180
136,280,462,330,607,606,329,181,179,180
136,280,135,331,607,606,457,181,179,180
136,280,462,330,607,606,457,181,179,180
136,133,135,330,456,457,181,179,180
136,280,135,330,456,457,181,179,180
136,280,462,284,456,457,181,179,180
136,280,462,330,456,457,181,179,180
136,133,134,608,606,329,181,495,612,179,180
136,133,134,608,606,329,304,495,181,457,180
136,133,134,608,327,329,181,495,612,179,180
136,133,134,608,327,329,304,495,181,457,180
136,133,134,328,327,329,181,495,612,179,180
136,133,134,328,327,329,304,495,181,457,180
136,133,134,608,606,329,304,495,181,179,180
136,133,134,608,327,132,304,495,181,457,180
136,133,134,328,327,132,304,495,181,457,180
136,133,134,608,327,329,304,495,181,179,180
136,133,134,328,327,329,304,495,181,179,180
136,133,134,608,327,132,304,495,181,179,180
136,133,134,328,327,132,304,495,181,179,180
136,133,134,328,130,132,304,495,181,457,180
136,133,134,608,606,457,181,495,612,179,180
136,133,134,608,606,329,304,495,612,179,180
136,133,134,608,327,329,304,495,612,179,180
136,133,134,328,130,132,304,495,181,179,180
136,133,134,328,327,329,304,495,612,179,180
136,133,134,608,327,132,304,329,606,457,180
136,133,134,608,327,132,304,495,612,179,180
136,133,134,328,327,132,304,329,606,457,180
136,133,134,608,327,132,304,329,181,457,180
136,133,134,328,327,132,304,495,612,179,180
136,133,134,328,327,132,304,329,181,457,180
136,133,134,328,130,132,304,329,606,457,180
136,133,134,608,327,132,304,329,181,179,180
136,133,134,328,130,132,304,495,612,179,180
136,133,134,328,130,132,327,329,606,457,180
136,133,134,328,327,132,304,329,181,179,180
136,133,134,328,130,132,327,608,606,457,180
136,133,134,328,130,132,304,329,181,457,180
136,133,134,328,327,608,606,329,181,457,180
136,133,135,331,608,606,329,181,495,612,179,180
136,133,134,328,130,132,327,329,181,457,180
136,133,135,331,608,606,329,304,495,181,457,180
136,133,135,331,608,327,329,181,495,612,179,180
136,133,135,331,608,327,329,304,495,181,457,180
136,133,134,328,130,132,304,329,181,179,180
136,133,134,328,327,608,606,329,181,179,180
136,133,134,328,130,132,327,329,181,179,180
136,133,135,331,608,606,329,304,495,181,179,180
136,133,135,331,608,327,132,304,495,181,457,180
136,133,135,331,608,327,329,304,495,181,179,180
136,280,135,331,608,606,329,181,495,612,179,180
136,280,135,331,608,606,329,304,495,181,457,180
136,133,135,331,608,327,132,304,495,181,179,180
136,280,135,331,608,327,329,181,495,612,179,180
136,280,135,331,608,327,329,304,495,181,457,180
136,133,135,331,608,606,457,181,495,612,179,180
136,133,135,330,607,606,329,181,495,612,179,180
136,133,135,331,608,606,329,304,495,612,179,180
136,280,135,331,608,606,329,304,495,181,179,180
136,280,135,331,608,327,132,304,495,181,457,180
136,133,135,330,607,606,329,304,495,181,457,180
136,133,134,608,327,329,606,457,181,179,180
136,133,135,331,608,327,329,304,495,612,179,180
136,280,135,331,608,327,329,304,495,181,179,180
136,133,134,328,327,329,606,457,181,179,180
136,133,134,328,327,608,606,457,181,179,180
136,133,135,331,608,327,132,304,329,606,457,180
136,133,135,331,608,327,132,304,495,612,179,180
136,280,135,331,608,327,132,304,495,181,179,180
136,133,135,330,607,606,329,304,495,181,179,180
136,133,135,331,608,327,132,304,329,181,457,180
136,280,135,331,608,606,457,181,495,612,179,180
136,280,135,330,607,606,329,181,495,612,179,180
136,280,135,331,608,606,329,304,495,612,179,180
136,280,135,330,607,606,329,304,495,181,457,180
136,280,135,331,608,327,329,304,495,612,179,180
136,133,135,331,608,327,132,304,329,181,179,180
136,133,135,330,607,606,457,181,495,612,179,180
136,280,135,331,608,327,132,304,329,606,457,180
136,280,135,331,608,327,132,304,495,612,179,180
136,133,135,330,607,606,329,304,495,612,179,180
136,280,135,330,607,606,329,304,495,181,179,180
136,133,135,331,607,606,329,181,495,612,179,180
136,133,135,331,607,606,329,304,495,181,457,180
136,280,135,331,608,327,132,304,329,181,457,180
136,133,135,331,607,606,329,304,495,181,179,180
136,280,135,331,608,327,132,304,329,181,179,180
136,280,135,330,607,606,457,181,495,612,179,180
136,280,135,330,607,606,329,304,495,612,179,180
136,280,135,331,607,606,329,181,495,612,179,180
136,280,135,331,607,606,329,304,495,181,457,180
136,133,135,331,607,606,457,181,495,612,179,180
136,133,135,331,607,606,329,304,495,612,179,180
136,133,135,331,608,327,329,606,457,181,179,180
136,280,135,331,607,606,329,304,495,181,179,180
136,280,462,330,607,606,329,181,495,612,179,180
136,280,462,330,607,606,329,304,495,181,457,180
136,280,135,331,607,606,457,181,495,612,179,180
136,280,135,331,607,606,329,304,495,612,179,180
136,280,135,331,608,327,329,606,457,181,179,180
136,280,462,330,607,606,329,304,495,181,179,180
136,280,462,330,607,606,457,181,495,612,179,180
136,280,462,330,607,606,329,304,495,612,179,180
136,133,135,330,456,457,181,495,612,179,180
136,280,135,330,456,457,181,495,612,179,180
136,280,462,284,456,457,181,495,612,179,180
136,280,462,330,456,457,181,495,612,179,180
136,133,134,608,327,132,304,329,181,495,612,179,180
136,133,134,328,327,132,304,329,181,495,612,179,180
136,133,134,328,130,132,304,329,181,495,612,179,180
136,133,134,328,327,608,606,329,181,495,612,179,180
