211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,457,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,606,607,330,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,304,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,304,329,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,489,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,304,132,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,489,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,253,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,606,607,330,462,281,283,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,327,608,331,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,253,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,234,506,231,232,251,253,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,457,606,607,330,135,280,139,743,264,263,618,717,665,520,507,234,233,252,333,488,200,198,199,401,403,405
211,106,20,95,86,85,87,751,635,394,301,570,569,495,181,329,606,608,331,135,280,139,743,264,263,618,717,665,520,507,260,506,231,232,251,253,198,199,401,403,405
