index,value
0,222.763
1,227.886
2,242.235
3,411.264
4,282.508
5,397.213
6,218.023
7,204.563
8,13.468
9,158.497
10,336.117
11,20.5597
12,114.225
13,49.7462
14,46.324
15,74.1899
16,123.093
17,82.2359
18,37.1625
19,60.5211
20,70.8754
21,152.638
22,63.9751
23,136.401
24,150.371
25,130.938
26,193.738
27,92.7498
28,18.8043
29,68.9152
30,20.7943
31,160.674
32,1.50624
33,15.1234
34,114.185
35,104.925
36,173.879
37,145.575
38,116.931
39,6.54769
40,173.569
41,244.368
42,76.0323
43,31.4924
44,68.4821
45,51.5715
46,104.558
47,68.3032
48,54.1384
49,84.1538
50,104.47
51,102.579
52,180.002
53,3.06304
54,10.978
55,131.741
56,10.3614
57,111.549
