index,value
0,36.0284
1,50.4768
2,59.6938
3,90.0929
4,63.8307
5,10.1754
6,56.7364
7,103.503
8,318.711
9,1.18834
10,44.4927
11,41.2242
12,70.9471
13,42.0907
14,110.306
15,1.89379
16,118.021
17,216.541
18,158.638
19,146.164
20,0
21,22.4036
22,46.1243
23,95.4656
24,95.5392
25,49.6967
26,26.8611
27,133.309
28,0
29,171.18
30,6.07145
31,139.176
32,179.737
33,0.609916
34,28.1212
35,21.5255
36,147.804
37,86.4783
38,220.297
39,168.046
40,165.724
41,132.717
42,165.869
43,191.723
44,62.6237
45,105.966
46,165.426
47,183.689
48,45.0813
49,62.8975
50,73.7477
51,185.672
52,76.3136
53,76.5438
54,39.0856
55,281.173
56,125.923
57,40.9404
