index,value
0,56.1742
1,109.881
2,39.8335
3,69.9066
4,7.20437
5,24.8414
6,38.6538
7,54.4689
8,13.9981
9,64.1011
10,199.166
11,219.086
12,197.468
13,30.7311
14,0.188572
15,69.2993
16,55.4967
17,130.443
18,29.0076
19,161.769
20,199.461
21,60.502
22,67.7793
23,120.164
24,0
25,149.739
26,45.8544
27,69.4605
28,118.311
29,128.172
30,204.388
31,110.035
32,99.1534
33,278.022
34,8.47127
35,239.964
36,111.814
37,118.274
38,94.6324
39,104.848
40,0
41,40.4854
42,236.096
43,68.0332
44,5.72574
45,5.21223
46,32.4333
47,24.9494
48,21.2687
49,151.95
50,341.841
51,59.2651
52,77.5888
53,109.462
54,49.1667
55,173.348
56,134.107
57,164.075
