index,value
0,292.957
1,334.583
2,347.095
3,261.853
4,296.346
5,332.999
6,290.419
7,315.075
8,117.837
9,145.207
10,6.65978
11,15.4844
12,45.297
13,145.988
14,25.0965
15,89.5709
16,2.40975
17,170.817
18,82.2532
19,9.37538
20,94.3389
21,113.613
22,66.849
23,112.998
24,139.773
25,145.251
26,85.0822
27,57.4582
28,81.4745
29,151.922
30,151.078
31,28.7863
32,49.1474
33,0
34,64.6235
35,6.67408
36,74.1645
37,58.3791
38,35.5264
39,35.0097
40,84.6898
41,81.6108
42,120.005
43,94.0847
44,25.8475
45,67.2537
46,43.0356
47,113.774
48,126.393
49,84.4263
50,82.3992
51,7.66177
52,115.536
53,74.8246
54,70.2854
55,131.302
56,6.72252
57,10.682
