index,value
0,58.8515
1,53.9272
2,78.8536
3,78.5308
4,140.921
5,86.675
6,122.603
7,73.5832
8,0.753944
9,149.198
10,25.4298
11,27.084
12,44.2235
13,27.1844
14,212.674
15,106.164
16,45.6718
17,198.859
18,0.111409
19,139.687
20,13.8606
21,4.43588
22,162.528
23,216.606
24,46.8636
25,254.459
26,138.929
27,88.4857
28,93.2891
29,0.24217
30,97.4849
31,239.887
32,189.134
33,178.948
34,258.934
35,231.734
36,206.553
37,67.6605
38,148.071
39,67.5171
40,197.108
41,35.7103
42,118.282
43,2.07462
44,67.0861
45,223.009
46,38.6959
47,167.155
48,2.31084
49,137.219
50,169.056
51,161.727
52,27.7332
53,67.2556
54,169.679
55,27.5323
56,139.282
57,201.17
