index,value
0,98.2619
1,106.918
2,50.3534
3,33.159
4,62.7719
5,73.1488
6,92.6536
7,24.9017
8,218.422
9,102.673
10,79.9546
11,35.5868
12,143.675
13,155.592
14,273.837
15,27.9184
16,1.66232
17,95.0492
18,134.181
19,59.3309
20,62.6583
21,183.099
22,101.376
23,7.21794
24,163.162
25,225.284
26,181.163
27,210.999
28,159.714
29,71.3734
30,31.0963
31,96.489
32,4.9103
33,21.8085
34,254.475
35,141.528
36,247.919
37,23.0659
38,97.4302
39,48.8105
40,213.68
41,319.447
42,186.817
43,3.14141
44,46.574
45,96.148
46,171.597
47,58.0174
48,48.4281
49,275.976
50,32.4383
51,27.0946
52,10.0838
53,282.054
54,119.012
55,153.741
56,2.84637
57,146.469
