index,value
0,300.189
1,360.144
2,288.251
3,301.784
4,287.252
5,344.818
6,285.39
7,166.598
8,75.1196
9,96.0619
10,30.7043
11,72.4429
12,159.442
13,89.5331
14,133.82
15,82.5073
16,96.614
17,11.5345
18,36.3309
19,80.5002
20,65.7977
21,10.8031
22,93.0065
23,0.378167
24,44.4805
25,72.4331
26,143.172
27,216.261
28,71.3916
29,150.6
30,97.1997
31,154.08
32,31.2643
33,29.9209
34,43.9752
35,125.7
36,47.5188
37,187.788
38,26.8784
39,14.846
40,24.0591
41,22.6157
42,201.905
43,19.0311
44,90.4162
45,79.5339
46,25.2766
47,130.963
48,123.077
49,26.347
50,107.5
51,50.3264
52,97.453
53,123.424
54,40.2754
55,209.474
56,200.309
57,103.394
