vertex1,x,y
0,1085.84,1453.17
1,1291.52,719.68
2,646.18,913.38
3,665.86,1205.6
4,1442.16,743.2
5,603.07,894.66
6,1594.85,1056.38
7,732.07,933.26
8,734.1,1019.15
9,1244.41,667.84
10,1159.32,989.05
11,1476.05,1038.87
12,451.52,1468.35
13,1154.75,922.1
14,986.67,811.42
15,687.75,1206.75
16,1545.63,79.32
17,1068.25,907.97
18,981.77,851.02
19,1131.66,1075.67
20,498.78,1361.41
21,637.9,1449.87
22,903.54,1071.61
23,1091.76,550.01
24,1369.64,850.89
25,743.37,882.68
26,677.15,1106.49
27,1145.41,1016.31
28,960.59,800.39
29,442.83,637.02
30,733.67,748.11
31,947.29,737.45
32,955.28,1470.26
33,1026.06,776.8
34,622.91,1017.44
35,962.01,1280.85
36,1274.65,1056.52
37,162.59,685.06
38,918.11,1285.67
39,518.03,1102.71
40,990.65,366.21
41,563.61,1361.26
42,1038.88,1253.28
43,1471.72,1098.17
44,715.96,1474.08
45,758.01,1246.64
46,863.74,1327.1
47,1092.42,1300.56
48,704.48,1219.54
49,889.74,480.64
50,805.85,515.27
51,864.71,1246.74
52,1095.82,1357.18
53,1159.81,795.5
54,571.73,677.01
55,1094.69,1076.17
56,1912.27,578.9
57,1447.83,951.02
58,813.86,897.02
59,1038.25,934.91
60,990.26,1546.48
61,1133.24,816.14
62,877.56,1015.49
63,921.95,619.47
64,788.06,1272.71
65,1317.68,947.92
66,1090.18,1341.71
67,1092.38,287.44
68,1353.33,983.14
69,1357.62,1038.32
70,1302.9,1264.34
71,1348.92,813.82
72,0.0,571.4285714285714
73,285.7142857142857,571.4285714285714
74,571.4285714285714,571.4285714285714
75,857.1428571428571,571.4285714285714
76,1142.857142857143,571.4285714285714
77,1428.5714285714287,571.4285714285714
78,1714.2857142857142,571.4285714285714
79,2000.0,571.4285714285714
80,0.0,1428.5714285714287
81,285.7142857142857,1428.5714285714287
82,571.4285714285714,1428.5714285714287
83,857.1428571428571,1428.5714285714287
84,1142.857142857143,1428.5714285714287
85,1428.5714285714287,1428.5714285714287
86,1714.2857142857142,1428.5714285714287
87,2000.0,1428.5714285714287
88,571.4285714285714,0.0
89,571.4285714285714,285.7142857142857
90,571.4285714285714,857.1428571428571
91,571.4285714285714,1142.857142857143
92,571.4285714285714,1714.2857142857142
93,571.4285714285714,2000.0
94,1428.5714285714287,0.0
95,1428.5714285714287,285.7142857142857
96,1428.5714285714287,857.1428571428571
97,1428.5714285714287,1142.857142857143
98,1428.5714285714287,1714.2857142857142
99,1428.5714285714287,2000.0
