vertex1,x,y
0,1656.62,625.65
1,1016.0,1259.42
2,1066.87,1348.6
3,938.98,972.77
4,295.81,1092.94
5,1253.13,398.93
6,1481.55,1325.89
7,1364.16,1230.05
8,838.16,1072.56
9,949.77,636.79
10,1101.26,523.13
11,1091.04,1587.71
12,1197.48,710.12
13,1058.89,1038.91
14,895.21,719.08
15,1039.71,336.22
16,1289.65,1129.92
17,1845.72,1175.12
18,855.31,516.05
19,1065.6,1321.4
20,894.65,847.29
21,1089.19,686.05
22,1282.94,667.03
23,939.64,1252.66
24,406.65,442.12
25,1298.29,639.77
26,1037.82,1125.16
27,900.81,1086.62
28,836.07,703.63
29,1090.25,1373.04
30,798.2,677.21
31,832.09,939.52
32,637.9,901.13
33,802.11,902.25
34,1182.95,943.35
35,599.46,934.69
36,1334.1,931.12
37,658.1,947.24
38,1043.48,1314.75
39,1140.64,932.6
40,1239.15,1200.66
41,1239.22,1043.13
42,975.63,1106.21
43,950.25,1225.59
44,1172.99,669.32
45,1080.63,1181.95
46,899.71,938.48
47,1107.58,721.31
48,951.53,1224.98
49,825.84,876.64
50,890.28,1109.47
51,1141.06,213.39
52,730.85,1210.56
53,1320.84,1751.13
54,838.39,997.78
55,344.63,923.57
56,1160.24,866.23
57,216.58,1161.12
58,706.54,911.81
59,1702.51,1187.79
60,1307.4,1499.51
61,1283.44,1243.9
62,675.54,949.35
63,945.88,676.51
64,1360.01,881.62
65,1185.49,953.4
66,1329.4,617.61
67,1516.65,1315.21
68,1191.43,1165.04
69,643.1,695.91
70,1173.53,484.03
71,931.7,1208.18
72,0.0,571.4285714285714
73,285.7142857142857,571.4285714285714
74,571.4285714285714,571.4285714285714
75,857.1428571428571,571.4285714285714
76,1142.857142857143,571.4285714285714
77,1428.5714285714287,571.4285714285714
78,1714.2857142857142,571.4285714285714
79,2000.0,571.4285714285714
80,0.0,1428.5714285714287
81,285.7142857142857,1428.5714285714287
82,571.4285714285714,1428.5714285714287
83,857.1428571428571,1428.5714285714287
84,1142.857142857143,1428.5714285714287
85,1428.5714285714287,1428.5714285714287
86,1714.2857142857142,1428.5714285714287
87,2000.0,1428.5714285714287
88,571.4285714285714,0.0
89,571.4285714285714,285.7142857142857
90,571.4285714285714,857.1428571428571
91,571.4285714285714,1142.857142857143
92,571.4285714285714,1714.2857142857142
93,571.4285714285714,2000.0
94,1428.5714285714287,0.0
95,1428.5714285714287,285.7142857142857
96,1428.5714285714287,857.1428571428571
97,1428.5714285714287,1142.857142857143
98,1428.5714285714287,1714.2857142857142
99,1428.5714285714287,2000.0
