index,value
0,265.663
1,217.829
2,202.043
3,209.689
4,312.032
5,427.403
6,354.341
7,299.843
8,0.723849
9,121.754
10,189.563
11,99.0034
12,25.42
13,76.2818
14,20.6605
15,152.029
16,59.0964
17,76.0174
18,141.245
19,141.187
20,36.1959
21,39.6925
22,135.345
23,12.8318
24,170.154
25,89.5158
26,89.4145
27,75.0986
28,62.0395
29,22.1848
30,61.8642
31,0.685083
32,116.524
33,158.253
34,61.1723
35,61.1501
36,107.855
37,17.9607
38,89.3452
39,51.685
40,15.8033
41,217.108
42,230.346
43,17.1516
44,68.288
45,0.118618
46,71.6627
47,96.5536
48,194.176
49,13.382
50,48.2022
51,37.6496
52,93.0774
53,138.264
54,104.691
55,74.7279
56,90.7582
57,20.4617
