index,value
0,12.3249
1,46.1186
2,20.3749
3,78.3818
4,74.5493
5,50.6159
6,34.9418
7,51.7014
8,188.715
9,45.0523
10,94.5312
11,205.926
12,44.7316
13,143.807
14,22.785
15,171.476
16,169.648
17,28.7252
18,3.54083
19,138.978
20,3.39901
21,97.2477
22,77.5255
23,48.4156
24,85.6518
25,132.14
26,54.5437
27,227.361
28,43.9245
29,9.60874
30,266.229
31,16.5441
32,26.2134
33,169.528
34,22.455
35,207.003
36,18.7721
37,0.498081
38,185.644
39,255.874
40,190.498
41,271.516
42,134.978
43,204.978
44,112.934
45,126.02
46,202.53
47,191.946
48,54.1796
49,173.774
50,121.952
51,22.5324
52,97.791
53,31.216
54,4.90598
55,143.725
56,53.3806
57,3.09613
