index,value
0,166.047
1,147.293
2,83.3042
3,74.7711
4,96.0994
5,50.7098
6,87.4308
7,105.212
8,236.138
9,152.832
10,87.9065
11,200.814
12,151.9
13,100.731
14,0.0709406
15,281.508
16,90.2551
17,104.236
18,89.4457
19,126.422
20,88.2799
21,9.60394
22,99.9619
23,37.0927
24,0.57074
25,188.72
26,70.3353
27,31.5801
28,272.035
29,195.179
30,0.00402434
31,306.036
32,21.1832
33,62.5228
34,12.2403
35,1.97245
36,101.391
37,134.154
38,82.658
39,140.861
40,76.7003
41,235.896
42,31.8866
43,82.3692
44,204.857
45,20.8846
46,147.615
47,249.665
48,50.0675
49,129.657
50,188.897
51,170.079
52,179.716
53,167.631
54,37.0559
55,76.9891
56,28.8547
57,211.465
