37,172,452,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,111,216,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,349,793,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,185,623,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,650,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,234,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,134,283,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,340,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,242,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,270,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,161,433,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,228,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,249,493,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,115,290,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,370,803,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,51,116,282,824,974,1330,1530,1579,1704,0,0,0,0,0,0,0,0
36,110,567,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,503,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,143,423,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,91,266,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,153,223,299,475,1219,1326,0,0,0,0,0,0,0,0,0,0,0
31,202,569,795,847,1091,1316,1671,1717,0,0,0,0,0,0,0,0,0
30,455,741,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,194,482,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,127,537,1183,1633,0,0,0,0,0,0,0,0,0,0,0,0,0
26,218,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,112,390,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,195,381,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,132,397,645,1629,0,0,0,0,0,0,0,0,0,0,0,0,0
44,334,541,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,168,465,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,142,441,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,188,684,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,274,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,259,696,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,107,501,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,156,193,252,317,431,814,1087,1679,0,0,0,0,0,0,0,0,0
49,364,558,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,105,620,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,115,216,354,379,449,654,883,931,1320,1356,1468,1500,1607,1636,1717,1871,1901
80,147,566,830,1018,1059,1223,0,0,0,0,0,0,0,0,0,0,0
26,255,523,840,1525,0,0,0,0,0,0,0,0,0,0,0,0,0
157,519,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,189,738,1178,1494,0,0,0,0,0,0,0,0,0,0,0,0,0
30,205,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,68,194,402,1088,0,0,0,0,0,0,0,0,0,0,0,0,0
291,850,1637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,218,521,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,443,886,911,1245,1438,0,0,0,0,0,0,0,0,0,0,0,0
43,310,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,303,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,176,468,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,288,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,126,341,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,208,434,800,1334,0,0,0,0,0,0,0,0,0,0,0,0,0
247,462,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,223,476,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,838,1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,637,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,133,272,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,121,186,300,437,708,1659,0,0,0,0,0,0,0,0,0,0,0
53,290,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,93,461,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,98,177,327,923,1187,1523,0,0,0,0,0,0,0,0,0,0,0
40,330,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,768,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,164,614,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,684,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,224,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,132,397,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,142,305,375,941,1190,0,0,0,0,0,0,0,0,0,0,0,0
65,112,181,417,795,924,1245,1574,0,0,0,0,0,0,0,0,0,0
26,69,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,279,395,770,930,1533,0,0,0,0,0,0,0,0,0,0,0,0
26,146,281,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,120,245,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,477,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,248,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,279,577,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,139,401,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,532,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,166,589,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,261,495,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,177,508,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,116,359,504,1202,1367,0,0,0,0,0,0,0,0,0,0,0,0
41,301,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,145,518,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,86,204,310,809,0,0,0,0,0,0,0,0,0,0,0,0,0
28,734,850,1146,1406,1600,1808,1972,0,0,0,0,0,0,0,0,0,0
29,114,154,235,352,548,738,825,1486,1706,0,0,0,0,0,0,0,0
70,418,649,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,239,574,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,75,488,513,558,1381,1525,0,0,0,0,0,0,0,0,0,0,0
111,183,1430,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,136,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,233,748,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,113,138,191,310,337,493,735,1063,1208,1765,0,0,0,0,0,0,0
73,183,714,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
