0,165
1,235
2,98
3,1
4,215
5,113
6,406
7,165
8,212
9,197
10,332
11,195
12,95
13,25
14,141
15,0
16,387
17,109
18,683
19,266
20,244
21,56
22,200
23,330
24,121
25,281
26,224
27,334
28,35
29,48
30,48
31,814
32,108
33,189
34,171
35,290
36,0
37,295
38,90
39,76
40,44
41,514
42,173
43,148
44,350
45,236
46,171
47,72
48,79
49,62
50,282
51,447
52,383
53,0
54,370
55,28
56,0
57,413
58,2
59,157
60,0
61,220
62,0
63,293
64,196
65,381
66,63
67,424
68,344
69,118
70,45
71,232
72,321
73,93
74,494
75,146
76,753
77,321
78,0
79,495
80,432
81,150
82,244
83,185
84,106
85,265
86,89
87,126
88,207
89,164
90,268
91,179
92,99
93,152
94,367
95,355
96,462
97,0
98,419
99,397
