117,156,158,160,161,448
117,156,158,160,430,429,69,448
117,156,158,160,161,71,448
117,312,157,159,323,334,430,429,69,448
117,312,157,159,323,334,430,160,161,448
117,156,158,159,323,334,430,429,69,448
117,156,158,159,323,334,430,160,161,448
117,417,114,311,408,72,70,71,448
117,417,114,311,408,72,70,71,161,448
117,156,158,160,161,71,70,66,63,69,448
117,312,157,159,323,334,430,160,161,71,448
117,156,158,159,323,334,430,160,161,71,448
117,156,158,160,430,429,69,63,66,70,71,448
117,156,157,159,323,334,430,429,69,448
117,156,157,159,323,334,430,160,161,448
117,156,158,160,430,429,69,63,66,70,71,161,448
117,417,114,311,408,72,70,71,161,160,430,429,69,448
117,312,157,159,158,160,161,448
117,156,157,159,323,334,430,160,161,71,448
117,312,157,159,158,160,430,429,69,448
117,312,157,156,158,160,161,448
117,312,157,159,158,160,161,71,448
117,156,157,159,158,160,161,448
117,312,157,156,158,160,430,429,69,448
117,312,157,156,158,160,161,71,448
117,417,114,311,408,407,446,72,70,71,448
117,156,157,159,158,160,430,429,69,448
117,417,114,311,408,407,446,72,70,71,161,448
117,156,157,159,158,160,161,71,448
117,312,434,324,322,323,334,430,429,69,448
117,312,434,324,322,323,334,430,160,161,448
117,417,114,311,408,407,446,72,70,71,161,160,430,429,69,448
117,312,434,324,322,323,334,430,160,161,71,448
117,417,114,311,408,72,70,66,63,69,448
117,417,114,311,408,72,70,66,63,69,429,430,160,161,448
117,417,418,330,116,114,311,408,72,70,71,448
117,417,418,330,116,114,311,408,72,70,71,161,448
117,417,114,311,408,72,70,66,63,69,429,430,160,161,71,448
117,417,418,330,116,114,311,408,72,70,71,161,160,430,429,69,448
117,417,114,311,408,407,446,72,70,66,63,69,448
117,156,157,312,434,324,322,323,334,430,429,69,448
117,156,157,312,434,324,322,323,334,430,160,161,448
117,312,434,324,322,323,159,158,160,161,448
117,312,434,324,333,322,323,334,430,429,69,448
117,312,434,324,333,322,323,334,430,160,161,448
117,312,434,324,322,323,159,158,160,430,429,69,448
117,156,157,312,434,324,322,323,334,430,160,161,71,448
117,312,434,324,322,323,159,158,160,161,71,448
117,417,114,311,408,407,446,72,70,66,63,69,429,430,160,161,448
117,417,418,330,116,114,311,408,407,446,72,70,71,448
117,312,434,324,333,332,334,430,429,69,448
117,417,418,330,116,114,311,408,407,446,72,70,71,161,448
