323,159,157,312,117,417,418,330
323,159,158,156,117,417,418,330
323,159,157,156,117,417,418,330
323,159,157,312,117,417,114,116,330
323,159,158,156,117,417,114,116,330
323,334,430,160,158,156,117,417,418,330
323,159,157,156,117,417,114,116,330
323,334,430,429,69,448,161,160,158,156,117,417,418,330
323,322,324,434,312,117,417,418,330
323,334,430,429,69,448,71,161,160,158,156,117,417,418,330
323,334,430,160,161,71,70,72,408,311,114,116,330
323,334,430,429,69,448,71,70,72,408,311,114,116,330
323,334,430,160,161,448,71,70,72,408,311,114,116,330
323,334,430,429,69,448,161,71,70,72,408,311,114,116,330
323,334,430,160,158,156,117,417,114,116,330
323,334,430,429,69,448,161,160,158,156,117,417,114,116,330
323,322,324,434,312,117,417,114,116,330
323,334,430,429,69,448,71,161,160,158,156,117,417,114,116,330
323,159,157,312,117,417,114,116,331,330
323,159,158,156,117,417,114,116,331,330
323,322,324,434,312,157,156,117,417,418,330
323,334,430,160,161,71,70,72,446,407,408,311,114,116,330
323,334,430,429,69,448,71,70,72,446,407,408,311,114,116,330
323,334,430,160,161,448,71,70,72,446,407,408,311,114,116,330
323,334,430,429,69,448,161,71,70,72,446,407,408,311,114,116,330
323,322,333,324,434,312,117,417,418,330
323,159,157,156,117,417,114,116,331,330
323,159,158,160,161,71,70,72,408,311,114,116,330
323,159,158,160,161,448,71,70,72,408,311,114,116,330
323,334,430,429,69,63,66,70,72,408,311,114,116,330
323,159,158,160,430,429,69,448,71,70,72,408,311,114,116,330
323,159,158,160,430,429,69,448,161,71,70,72,408,311,114,116,330
323,334,430,160,161,71,70,72,408,311,114,116,331,330
323,334,430,160,161,448,69,63,66,70,72,408,311,114,116,330
323,334,430,429,69,448,71,70,72,408,311,114,116,331,330
323,334,430,160,161,448,71,70,72,408,311,114,116,331,330
323,334,430,429,69,448,161,71,70,72,408,311,114,116,331,330
323,322,324,434,312,157,156,117,417,114,116,330
323,334,430,160,158,156,117,417,114,116,331,330
323,334,430,160,161,71,448,69,63,66,70,72,408,311,114,116,330
323,322,333,324,434,312,117,417,114,116,330
323,334,430,429,69,448,161,160,158,156,117,417,114,116,331,330
323,322,324,434,312,117,417,114,116,331,330
323,322,324,434,312,157,159,158,156,117,417,418,330
323,159,158,160,161,71,70,72,446,407,408,311,114,116,330
323,334,430,429,69,448,71,161,160,158,156,117,417,114,116,331,330
323,159,158,160,161,448,71,70,72,446,407,408,311,114,116,330
323,322,333,324,434,312,157,156,117,417,418,330
323,159,158,156,157,312,117,417,418,330
323,334,430,429,69,63,66,70,72,446,407,408,311,114,116,330
323,159,158,160,430,429,69,448,71,70,72,446,407,408,311,114,116,330
323,159,158,160,430,429,69,448,161,71,70,72,446,407,408,311,114,116,330
323,334,430,160,161,71,70,72,446,407,408,311,114,116,331,330
323,334,430,160,161,448,69,63,66,70,72,446,407,408,311,114,116,330
323,334,430,160,161,71,70,72,408,311,114,417,418,330
323,334,430,429,69,448,71,70,72,446,407,408,311,114,116,331,330
323,334,430,160,161,448,71,70,72,446,407,408,311,114,116,331,330
323,334,430,429,69,448,71,70,72,408,311,114,417,418,330
323,334,430,429,69,448,161,71,70,72,446,407,408,311,114,116,331,330
323,334,430,160,161,448,71,70,72,408,311,114,417,418,330
323,334,430,429,69,448,161,71,70,72,408,311,114,417,418,330
