index,value
0,265.506
1,168.527
2,209.67
3,202.749
4,223.233
5,374.147
6,272.89
7,243.174
8,75.5956
9,0.419048
10,54.8914
11,116.481
12,18.8551
13,49.2587
14,111.381
15,73.6492
16,61.851
17,214.322
18,70.1431
19,91.1639
20,48.5952
21,66.7554
22,8.63362
23,59.7989
24,15.3712
25,68.5121
26,85.7959
27,64.9749
28,54.4102
29,105.786
30,88.066
31,56.3842
32,8.92132
33,19.0328
34,109.791
35,0
36,0
37,11.8664
38,70.3825
39,114.854
40,0
41,33.3122
42,24.8399
43,73.8756
44,112.435
45,52.1474
46,89.2608
47,77.227
48,91.0161
49,42.2164
50,2.76325
51,59.7846
52,114.921
53,51.4921
54,72.3185
55,41.674
56,34.4819
57,129.869
