vertex1,vertex2,edge_weight
83,81,166.69952402021585
83,80,87.4220317896463
82,81,111.49713127812004
82,68,130.51526055686796
82,278,34.260078503490796
81,279,111.6976222219888
80,78,173.41330835184766
80,61,48.05348910398603
80,60,85.48865214394135
79,78,8.817028874015815
79,278,107.5050298732186
78,63,99.68782308587852
77,75,117.87620414524886
77,31,71.38595126568282
77,207,66.764758461851
77,206,147.90701958860828
76,75,155.27426567685671
76,65,93.7574706177445
76,63,126.53005615515946
76,205,113.57828857633415
75,34,70.74266258180228
75,1085,151.85650350696045
74,72,104.02673472725623
74,36,126.57505026947592
74,30,101.61998333747212
74,29,66.67748026792594
73,36,40.376593578406194
73,32,63.9977271750058
73,662,137.0094325920949
72,37,126.47666659408006
72,208,67.72124677035954
72,203,53.272252364583416
71,69,55.44601167267385
71,37,51.18947786989871
71,203,134.32869282758492
70,69,26.386318199220316
70,791,15.213769942742356
70,663,199.34398906711277
70,443,57.27657223004743
69,209,141.47683359833172
68,66,117.4120810991365
68,717,126.47647003115114
68,716,13.264930338845751
67,66,90.2155077720274
67,717,89.32728942143387
67,565,126.83160138436206
67,564,14.829914056675696
66,64,138.51294575909048
65,64,120.35239529937498
65,1087,92.55798489881103
64,63,100.29013442729784
64,278,100.30959986460843
63,61,175.40497856327588
62,61,104.8490460634979
62,232,65.57125692476366
62,231,51.91645310757474
62,205,71.10263369200885
61,59,78.64556413219417
60,59,38.27291197175012
60,242,39.73050498105709
59,57,130.1478551556981
59,232,104.62094615495168
58,57,86.93651921174363
58,699,57.880293978628224
58,660,96.85149146611488
58,245,65.6880303322017
57,55,90.62969753305168
57,244,74.16772622154434
56,55,64.74555060210035
56,54,95.98899500714653
56,1049,10.6206069054648
56,719,13.28252611217914
55,54,59.89711042709821
55,660,76.16052896599187
54,53,33.62297781525946
54,52,48.20076534253771
53,51,17.06958373182788
53,793,119.38631105265708
52,51,41.72221527190148
52,661,32.70168263204465
51,49,99.92677466898287
51,693,69.66325746041348
50,49,51.07406157964841
50,320,130.8513339927886
50,319,39.394919294725
49,48,26.450411126434908
48,47,107.75772151438757
48,697,99.90266669168554
47,45,45.87288626637007
47,320,72.10304880433449
46,45,57.33915170773778
46,697,132.05408549887025
46,282,150.4546783392726
46,281,65.36356679723298
45,43,134.69626068677698
45,290,14.265678074253682
44,43,56.76835447596536
44,290,129.21067163686863
44,286,45.27156002764945
43,41,88.88875421240805
42,39,87.82524790992649
42,979,142.6742362636087
42,735,17.83608569639148
42,284,59.974074175540764
41,39,127.43282777951343
41,284,77.4112987608258
40,39,13.956791251611302
40,797,40.75078796980271
40,735,83.31693324191217
40,198,99.9136422125376
39,283,68.96151996219176
38,811,148.81661063019584
38,664,16.37949165411915
37,35,74.63443821165154
36,35,28.72835218727722
35,663,110.47975706500247
34,32,63.383742594015615
34,31,120.6104632109699
33,32,165.38564337584293
33,813,14.7523619570624
33,662,73.19820705310552
