index,value
0,284.219
1,216.259
2,173.133
3,195.709
4,258.765
5,333.696
6,301.967
7,332.671
8,126.894
9,0.366667
10,69.6106
11,84.979
12,51.2999
13,90.3414
14,0
15,0
16,53.9969
17,20.9674
18,0.51385
19,81.823
20,79.8381
21,47.6077
22,95.231
23,50.1198
24,93.6404
25,101.797
26,126.297
27,92.1379
28,56.2777
29,31.6001
30,1.125
31,121.219
32,65.0047
33,4.51515
34,36.8202
35,157.077
36,104.226
37,4.15422
38,43.1598
39,76.5792
40,39.1482
41,28.9537
42,75.9937
43,72.8015
44,86.4994
45,47.2686
46,32.3724
47,114.603
48,32.5265
49,118.404
50,21.3744
51,49.2833
52,59.9431
53,3.9851
54,1.33333
55,68.9465
56,47.336
57,38.1283
