31,41
31,8,41
31,15,41
31,26,41
31,44,41
31,8,2,41
31,26,49,41
31,44,8,41
31,15,10,41
31,44,46,41
31,8,7,41
31,12,49,41
31,8,44,41
31,18,10,41
31,8,46,41
31,33,1,41
31,18,15,41
31,8,49,41
31,34,10,41
31,33,7,41
31,42,1,41
31,34,44,41
31,47,0,41
31,42,46,41
31,34,46,41
31,47,7,41
31,48,0,41
31,47,8,41
31,33,8,41
31,48,1,41
31,47,11,41
31,33,10,41
31,48,8,41
31,47,15,41
31,33,39,41
31,47,26,41
31,33,46,41
31,47,39,41
31,47,44,41
31,47,46,41
31,34,4,49,41
31,47,7,0,41
31,33,46,7,41
31,47,39,1,41
31,47,44,8,41
31,47,46,7,41
31,34,46,7,41
31,18,10,2,41
31,42,4,49,41
31,8,44,46,41
31,26,9,49,41
31,42,4,1,41
31,42,1,11,41
31,26,20,49,41
31,26,9,1,41
31,42,4,2,41
31,42,1,39,41
31,26,47,7,41
31,26,20,8,41
31,42,46,7,41
31,18,10,15,41
31,42,5,46,41
31,34,44,8,41
31,34,46,8,41
31,47,46,8,41
31,44,8,2,41
31,8,2,10,41
31,47,44,46,41
31,47,39,46,41
31,12,25,49,41
31,33,46,8,41
31,47,7,8,41
31,47,0,7,41
31,8,46,7,41
31,8,49,7,41
31,47,26,49,41
31,34,4,1,41
31,34,9,49,41
31,33,39,1,41
31,47,9,49,41
31,34,10,2,41
31,34,4,2,41
31,34,47,11,41
31,34,4,10,41
31,34,36,44,41
31,34,47,0,41
31,34,4,15,41
31,34,35,44,41
31,34,36,0,41
31,34,47,7,41
31,34,4,44,41
31,34,32,49,41
31,34,35,2,41
31,34,36,1,41
31,34,47,8,41
31,34,24,44,41
31,34,36,15,41
31,34,47,15,41
31,34,20,49,41
31,34,24,39,41
31,34,36,26,41
31,34,47,26,41
31,34,17,26,41
31,34,24,46,41
31,34,20,8,41
31,34,47,39,41
31,34,13,1,41
31,34,17,0,41
31,34,20,26,41
31,34,47,44,41
31,34,32,7,41
31,34,35,7,41
31,33,39,46,41
31,47,48,8,41
31,47,9,1,41
31,34,10,15,41
31,34,9,1,41
31,47,15,10,41
31,48,8,2,41
31,8,7,0,41
