42,43
42,13,43
42,1,13,43
42,13,3,43
42,1,33,43
42,4,29,43
42,13,27,43
42,5,7,43
42,4,19,43
42,1,37,43
42,5,16,43
42,1,38,43
42,5,19,43
42,1,39,43
42,5,32,43
42,4,33,43
42,13,32,43
42,12,38,43
42,5,33,43
42,4,44,43
42,18,29,43
42,12,16,43
42,28,7,43
42,12,19,43
42,31,47,43
42,28,13,43
42,35,7,43
42,31,26,43
42,5,38,43
42,13,37,43
42,28,26,43
42,35,19,43
42,5,39,43
42,13,39,43
42,28,38,43
42,5,44,43
42,35,29,43
42,28,39,43
42,31,33,43
42,35,32,43
42,28,44,43
42,31,44,43
42,35,37,43
42,45,3,43
42,35,44,43
42,46,47,43
42,45,7,43
42,46,7,43
42,45,16,43
42,46,19,43
42,45,27,43
42,46,27,43
42,45,32,43
42,46,32,43
42,46,33,43
42,46,38,43
42,46,39,43
42,46,44,43
42,45,27,7,43
42,46,27,7,43
42,45,32,7,43
42,46,33,3,43
42,46,38,7,43
42,46,39,3,43
42,46,44,3,43
42,46,32,7,43
42,46,19,7,43
42,45,49,32,43
42,12,19,7,43
42,46,7,3,43
42,45,7,3,43
42,46,47,7,43
42,12,14,47,43
42,35,44,3,43
42,18,29,3,43
42,1,38,7,43
42,28,13,3,43
42,31,47,7,43
42,28,7,3,43
42,1,37,13,43
42,45,3,7,43
42,5,16,7,43
42,35,34,47,43
42,4,29,3,43
42,12,16,7,43
42,5,19,7,43
42,13,27,7,43
42,18,31,47,43
42,1,13,3,43
42,31,48,19,43
42,28,35,44,43
42,12,16,27,43
42,18,31,26,43
42,1,13,27,43
42,28,1,13,43
42,28,35,7,43
42,12,16,38,43
42,18,31,33,43
42,1,13,32,43
42,28,2,16,43
42,18,31,44,43
42,1,13,37,43
42,28,8,7,43
42,28,2,19,43
42,1,13,39,43
42,28,9,26,43
42,28,8,32,43
42,28,2,29,43
42,28,14,29,43
42,28,9,27,43
42,28,8,33,43
42,28,20,3,43
42,28,1,33,43
42,28,35,19,43
42,31,41,39,43
42,31,48,47,43
42,13,27,16,43
42,18,10,32,43
42,5,19,37,43
42,45,16,7,43
42,35,29,3,43
42,28,39,3,43
42,35,32,7,43
42,31,44,3,43
42,4,29,33,43
42,35,34,13,43
42,31,33,3,43
42,35,10,33,43
42,5,16,27,43
42,28,38,7,43
42,5,39,3,43
42,45,3,13,43
42,1,37,19,43
42,5,33,3,43
42,28,7,16,43
42,31,47,19,43
42,4,49,26,43
42,4,19,7,43
42,5,0,7,43
42,28,13,27,43
42,1,38,16,43
42,12,38,7,43
42,18,29,33,43
42,35,44,19,43
42,1,33,3,43
42,13,17,16,43
42,12,14,29,43
42,12,22,39,43
42,35,44,29,43
42,1,33,7,43
42,13,22,27,43
42,13,17,3,43
42,12,14,33,43
42,1,33,29,43
42,13,1,33,43
42,13,22,7,43
42,13,17,19,43
42,12,14,37,43
42,1,33,39,43
42,13,23,7,43
42,13,22,39,43
42,13,17,26,43
42,13,1,37,43
42,13,28,44,43
42,13,1,38,43
42,13,40,39,43
42,13,28,7,43
42,13,1,39,43
42,13,34,32,43
42,13,40,3,43
42,13,28,26,43
42,13,36,16,43
42,13,34,16,43
42,13,40,19,43
42,13,28,38,43
42,13,36,19,43
42,13,34,44,43
42,13,40,26,43
42,13,28,39,43
42,13,36,26,43
42,13,34,47,43
42,13,40,33,43
42,13,36,27,43
42,13,40,38,43
42,13,36,44,43
42,13,23,26,43
42,13,17,27,43
42,13,23,27,43
42,13,17,33,43
42,13,23,29,43
42,12,49,26,43
42,13,23,38,43
42,12,48,47,43
42,12,49,3,43
42,13,23,47,43
42,12,36,26,43
42,12,48,19,43
42,12,49,7,43
42,12,31,47,43
42,12,36,13,43
42,12,49,32,43
42,12,6,29,43
