7,27,37,39,47
7,33,31,34,47
7,27,23,26,47
7,33,31,44,47
7,27,23,38,47
7,33,31,48,47
7,8,48,19,47
7,5,0,11,47
7,8,48,31,47
7,5,0,14,47
7,8,44,19,47
7,5,0,19,47
7,8,44,31,47
7,5,0,23,47
7,8,44,34,47
7,5,0,48,47
7,8,44,43,47
7,0,14,11,47
7,8,44,46,47
7,0,14,48,47
7,35,11,9,47
7,27,9,34,47
7,35,11,14,47
7,27,9,39,47
7,35,11,19,47
7,46,44,31,47
7,41,0,14,47
7,46,44,34,47
7,41,0,19,47
7,46,44,43,47
7,41,0,23,47
7,43,42,31,47
7,41,0,48,47
7,43,3,39,47
7,21,23,0,47
7,43,16,0,47
7,43,3,44,47
7,21,23,8,47
7,43,13,23,47
7,43,16,15,47
7,21,23,26,47
7,43,29,14,47
7,43,13,27,47
7,43,16,27,47
7,21,23,27,47
7,43,32,15,47
7,43,29,15,47
7,43,13,34,47
7,43,16,34,47
7,21,23,38,47
7,43,13,39,47
7,43,16,38,47
7,43,33,8,47
7,43,32,8,47
7,43,29,21,47
7,43,37,9,47
7,43,33,14,47
7,43,32,9,47
7,43,29,23,47
7,43,37,14,47
7,43,33,31,47
7,43,32,34,47
7,43,29,44,47
7,43,37,19,47
7,43,33,39,47
7,43,32,38,47
7,43,37,26,47
7,43,33,46,47
7,43,32,39,47
7,43,37,27,47
7,43,32,46,47
7,43,37,39,47
7,35,34,31,47
7,46,38,43,47
7,35,34,44,47
7,0,19,39,47
7,35,34,46,47
7,0,19,43,47
7,41,8,31,47
7,0,19,44,47
7,41,8,44,47
7,0,19,46,47
7,41,8,46,47
7,0,19,48,47
7,41,8,48,47
7,19,39,43,47
7,38,23,0,47
7,19,39,46,47
7,38,23,8,47
7,0,11,9,47
7,38,23,21,47
7,0,11,14,47
7,38,23,26,47
7,0,11,19,47
7,38,23,27,47
7,45,8,31,47
7,28,26,23,47
7,45,8,44,47
7,28,26,31,47
7,45,8,46,47
7,28,26,43,47
7,45,8,48,47
7,19,43,27,47
7,23,26,31,47
7,19,43,38,47
7,23,26,43,47
7,19,43,39,47
7,5,39,43,47
7,19,43,44,47
7,5,39,46,47
7,16,0,19,47
7,43,27,9,47
7,25,39,19,47
7,28,1,9,47
7,28,42,46,47
7,49,8,44,47
7,33,8,44,47
7,32,34,9,47
7,49,23,0,47
7,22,15,31,47
7,41,39,9,47
7,49,26,9,47
7,16,38,23,47
7,23,8,44,47
7,8,31,26,47
7,22,39,19,47
7,33,43,27,47
7,35,19,38,47
7,28,14,0,47
7,35,10,15,47
7,43,39,19,47
7,49,46,27,47
7,35,45,46,47
7,33,46,27,47
