index,value
0,393.885
1,346.301
2,294.699
3,239.459
4,207.323
5,227.89
6,260.368
7,344.599
8,111.673
9,164.197
10,59.9535
11,171.576
12,71.4689
13,118.707
14,40.44
15,90.4675
16,20.9114
17,101.36
18,41.8045
19,128.519
20,129.405
21,69.0938
22,31.9328
23,149.399
24,0.904602
25,69.7018
26,115.963
27,38.4044
28,60.2646
29,14.2123
30,78.0614
31,99.0525
32,72.7866
33,44.3773
34,3.72535
35,104.185
36,185.19
37,117.325
38,126.395
39,11.9939
40,13.3591
41,78.1875
42,38.5729
43,132.872
44,139.283
45,59.1466
46,30.2112
47,166.054
48,38.1546
49,24.2821
50,133.709
51,55.4295
52,37.0921
53,153.055
54,54.0615
55,0.619042
56,69.5602
57,164.377
