index,value
0,19.8964
1,116.931
2,69.6972
3,119.117
4,33.731
5,106.799
6,36.3086
7,82.0922
8,202.226
9,157.933
10,22.8226
11,50.2411
12,17.9484
13,306.978
14,172.151
15,197.538
16,15.4665
17,132.45
18,76.6829
19,180.516
20,7.64669
21,0.320642
22,101.278
23,177.122
24,107.828
25,44.4849
26,17.9168
27,25.1939
28,282.342
29,58.8968
30,6.16037
31,166.959
32,42.9528
33,115.866
34,91.9052
35,57.5789
36,2.10427
37,45.6394
38,135.679
39,177.598
40,76.6239
41,115.106
42,56.2515
43,55.1381
44,340.409
45,202.764
46,229.078
47,164.878
48,40.1998
49,203.186
50,207.805
51,159.038
52,136.233
53,32.0028
54,132.47
55,286.626
56,61.7516
57,237.278
