index,value
0,387.335
1,278.225
2,264.769
3,224.325
4,281.004
5,352.894
6,404.154
7,387.538
8,35.8407
9,102.495
10,64.8771
11,45.5879
12,48.3545
13,7.99812
14,125.668
15,164.205
16,69.8582
17,120.544
18,67.7695
19,167.995
20,69.6834
21,38.352
22,6.61494
23,180.107
24,101.979
25,40.9124
26,0
27,4.36584
28,2.29125
29,97.2524
30,0
31,57.57
32,14.9341
33,43.0222
34,24.5223
35,0.0434783
36,108.14
37,26.5319
38,98.8867
39,81.0539
40,26.3964
41,50.7766
42,201.345
43,2.0163
44,127.254
45,117.817
46,57.993
47,0
48,78.4573
49,67.036
50,64.402
51,43.6214
52,144.478
53,174.108
54,72.5806
55,61.3545
56,117.999
57,58.1256
