index,value
0,384.497
1,267.345
2,252.979
3,210.56
4,269.943
5,335.744
6,386.611
7,376.267
8,53.3479
9,128.085
10,74.859
11,53.9281
12,57.9402
13,10.1932
14,151.485
15,198.44
16,93.0106
17,132.484
18,72.0691
19,198.201
20,74.364
21,42.3085
22,6.81257
23,213.557
24,114.035
25,54.2587
26,0
27,9.09872
28,4.41346
29,114.522
30,0.115133
31,65.0113
32,21.2619
33,51.8996
34,29.1719
35,1.18304
36,130.559
37,31.732
38,116.155
39,98.6007
40,37.2489
41,58.8573
42,213.535
43,7.05744
44,182.066
45,146.964
46,66.8848
47,0.645229
48,80.9278
49,103.781
50,75.989
51,44.2501
52,180.746
53,213.53
54,89.881
55,78.2507
56,123.341
57,64.7916
