23,13,5,1,0,3,392
23,0,7,48,5,1,392
23,0,7,37,487,1,392
23,175,420,97,108,1,392
23,206,246,16,47,3,392
23,0,3,8,191,1,392
23,206,448,198,116,1,392
23,27,17,0,5,1,392
23,33,60,236,1,3,392
23,13,5,15,1,3,392
23,13,5,0,1,3,392
23,206,448,452,3,1,392
23,0,6,3,287,1,392
23,265,7,1,8,3,392
23,0,4,3,8,1,392
23,0,34,38,9,1,392
23,13,5,11,475,1,392
23,0,148,8,100,1,392
23,0,260,100,1,3,392
23,40,279,73,134,1,392
23,13,253,372,3,1,392
23,13,3,8,191,1,392
23,0,143,274,44,1,392
23,0,17,406,250,3,392
23,0,2,10,8,1,392
23,44,56,0,5,1,392
23,13,3,8,317,1,392
23,0,148,8,3,1,392
23,401,38,9,3,1,392
23,178,32,9,1,3,392
23,401,38,281,3,1,392
23,401,38,9,1,3,392
23,0,4,42,6,3,392
23,175,0,5,1,3,392
23,0,3,13,5,1,392
23,0,3,11,475,1,392
23,0,7,22,1,3,392
23,265,7,22,1,3,392
23,13,119,318,100,1,392
23,13,224,114,69,1,392
23,13,3,0,5,1,392
23,0,50,235,7,1,392
23,0,34,152,1,3,392
23,27,17,0,1,3,392
23,0,50,71,116,1,392
23,337,414,100,1,3,392
23,232,69,1,9,3,392
23,44,1,93,8,3,392
23,44,56,0,1,3,392
23,40,11,5,1,3,392
23,0,5,19,69,1,392
23,337,414,100,8,1,392
23,0,5,83,8,3,392
23,33,7,20,21,1,392
23,265,7,0,3,1,392
23,0,56,44,1,3,392
23,401,38,34,0,1,392
23,13,253,157,416,3,392
23,44,50,0,5,1,392
23,13,5,157,416,3,392
23,178,32,367,59,3,392
23,357,236,1,8,3,392
23,27,17,406,250,3,392
23,178,32,11,5,1,392
23,150,465,57,1,3,392
23,27,17,6,3,1,392
23,13,31,80,97,1,392
23,13,3,11,5,1,392
23,13,31,16,15,1,392
23,13,5,11,3,1,392
23,40,11,3,0,1,392
23,424,459,7,0,1,392
23,33,7,0,3,1,392
23,419,84,21,1,3,392
23,337,48,5,0,1,392
23,33,190,431,1,3,392
23,41,28,98,3,1,392
23,64,17,0,3,1,392
23,0,260,100,8,3,392
23,0,1,8,133,3,392
23,33,131,441,1,3,392
23,41,155,482,9,1,392
23,0,6,42,4,3,392
23,13,5,161,227,1,392
23,27,17,0,3,1,392
23,0,5,11,475,1,392
23,44,204,20,21,1,392
23,13,5,60,290,3,392
23,424,466,371,5,1,392
23,424,390,19,5,1,392
23,150,104,131,441,1,392
23,424,459,7,1,3,392
23,150,104,332,11,3,392
23,13,5,188,1,3,392
23,150,104,490,431,1,392
23,424,390,15,5,1,392
23,150,104,16,15,1,392
23,33,7,0,4,3,392
23,13,5,1,8,3,392
23,33,7,0,5,1,392
23,13,5,1,9,3,392
23,33,7,0,6,3,392
23,13,5,1,287,3,392
23,0,7,347,250,3,392
23,13,5,0,4,3,392
23,0,7,33,35,1,392
23,13,5,0,6,3,392
23,0,7,114,69,1,392
23,13,5,0,7,1,392
23,337,48,51,5,1,392
23,337,48,7,0,1,392
23,337,48,61,15,1,392
23,337,48,7,22,1,392
23,337,48,7,0,3,392
23,337,48,96,14,3,392
23,33,7,1,0,3,392
23,337,48,122,21,1,392
23,33,7,1,8,3,392
23,337,48,174,157,1,392
23,33,7,1,9,3,392
23,337,48,493,9,1,392
23,33,7,1,287,3,392
23,337,48,493,9,3,392
23,33,35,77,9,1,392
23,13,5,0,3,1,392
23,33,35,77,9,3,392
23,206,304,71,47,3,392
23,419,84,73,134,1,392
23,206,202,20,78,1,392
23,206,304,71,116,1,392
23,206,202,173,6,3,392
23,206,202,20,7,1,392
23,206,246,16,15,1,392
23,206,202,20,21,1,392
23,0,7,1,8,3,392
23,0,3,8,317,1,392
23,0,7,1,9,3,392
23,175,0,1,287,3,392
23,0,7,1,287,3,392
23,175,0,1,8,3,392
23,27,17,0,6,3,392
23,175,0,1,9,3,392
23,27,17,0,7,1,392
23,41,28,11,3,1,392
23,41,28,15,1,3,392
23,33,190,158,15,1,392
23,265,7,1,9,3,392
23,0,4,3,9,1,392
23,265,7,1,287,3,392
23,0,4,3,287,1,392
23,0,34,38,281,3,392
23,0,34,38,9,3,392
23,0,148,8,133,3,392
23,0,5,11,3,1,392
23,0,148,8,191,1,392
23,33,60,290,3,1,392
23,0,148,8,317,1,392
23,0,5,15,1,3,392
23,40,153,33,35,1,392
23,13,31,75,3,1,392
23,40,171,342,35,1,392
23,40,153,33,7,1,392
23,40,209,95,296,1,392
23,0,239,352,8,1,392
23,13,123,47,3,1,392
23,0,175,420,97,1,392
23,0,239,211,6,3,392
23,0,239,352,8,3,392
23,0,457,252,326,1,392
23,0,239,211,250,3,392
23,0,24,298,44,1,392
23,0,143,124,100,1,392
23,0,160,51,5,1,392
23,0,24,19,5,1,392
23,0,99,80,97,1,392
23,0,24,73,134,1,392
23,0,24,19,11,3,392
23,0,380,205,6,3,392
23,0,24,272,7,1,392
23,0,24,19,25,3,392
23,383,436,5,0,1,392
23,0,24,19,69,1,392
23,383,436,5,11,3,392
23,383,436,5,0,3,392
23,383,436,5,13,3,392
23,41,28,59,3,1,392
23,383,436,5,15,1,392
23,175,0,6,3,1,392
23,383,436,5,127,1,392
23,383,436,5,1,3,392
23,383,436,5,157,1,392
23,0,2,12,5,1,392
23,383,436,5,161,1,392
23,0,2,62,7,1,392
23,383,436,5,188,1,392
23,41,28,15,5,1,392
23,0,2,10,8,3,392
23,0,5,13,3,1,392
23,0,1,191,8,3,392
23,44,56,0,6,3,392
23,0,1,317,8,3,392
23,44,56,0,7,1,392
23,0,1,93,8,3,392
23,33,307,157,5,1,392
23,0,1,100,8,3,392
23,33,307,157,416,3,392
23,0,1,5,11,3,392
23,0,4,147,47,3,392
23,0,1,22,327,3,392
23,0,1,5,13,3,392
23,0,1,157,416,3,392
23,41,28,11,5,1,392
23,0,1,475,11,3,392
23,41,28,11,475,1,392
23,175,420,97,1,3,392
23,33,307,157,1,3,392
23,175,0,5,11,3,392
23,0,3,133,8,1,392
23,175,0,5,13,3,392
23,0,3,327,22,1,392
23,175,0,5,15,1,392
23,0,3,416,157,1,392
