15,113
15,1,0,4,113
15,5,0,4,113
15,1,3,4,113
15,28,98,3,4,113
15,5,1,0,4,113
15,1,3,0,4,113
15,16,47,3,4,113
15,28,11,3,4,113
15,16,47,147,4,113
15,28,498,3,4,113
15,28,11,257,4,113
15,1,0,3,4,113
15,5,0,3,4,113
15,5,11,3,4,113
15,28,59,3,4,113
15,5,81,42,4,113
15,5,11,257,4,113
15,5,13,3,4,113
15,5,1,3,4,113
15,1,287,3,4,113
15,1,392,3,4,113
15,1,8,3,4,113
15,1,9,3,4,113
15,1,5,0,4,113
15,1,7,0,4,113
15,1,100,301,4,113
15,5,127,1,0,4,113
15,5,13,23,0,4,113
15,1,100,8,3,4,113
15,5,157,1,0,4,113
15,5,127,1,3,4,113
15,1,100,260,0,4,113
15,5,161,1,0,4,113
15,5,157,416,3,4,113
15,5,157,1,3,4,113
15,5,13,3,0,4,113
15,5,18,6,42,4,113
15,5,161,1,3,4,113
15,16,47,3,0,4,113
15,5,1,7,0,4,113
15,5,1,3,0,4,113
15,28,98,3,0,4,113
15,28,11,3,0,4,113
15,5,188,1,0,4,113
15,5,11,3,0,4,113
15,28,41,23,0,4,113
15,28,498,3,0,4,113
15,1,287,3,0,4,113
15,5,18,6,0,4,113
15,28,11,5,0,4,113
15,1,392,3,0,4,113
15,5,1,8,3,4,113
15,390,19,11,3,4,113
15,5,1,9,3,4,113
15,61,48,5,0,4,113
15,390,424,23,0,4,113
15,390,19,5,0,4,113
15,390,19,11,257,4,113
15,5,1,287,3,4,113
15,61,48,7,0,4,113
15,390,19,25,3,4,113
15,5,1,392,3,4,113
15,390,19,24,0,4,113
15,5,1,100,301,4,113
15,390,19,308,301,4,113
15,1,8,3,0,4,113
15,1,8,100,301,4,113
15,1,9,316,0,4,113
15,1,8,133,3,4,113
15,28,59,3,0,4,113
15,1,8,148,0,4,113
15,5,1,0,3,4,113
15,1,0,50,184,295,113
15,5,12,2,0,4,113
15,1,9,3,0,4,113
15,1,0,6,42,4,113
15,5,19,308,301,4,113
15,5,188,1,3,4,113
15,1,0,6,3,4,113
15,5,60,65,184,295,113
15,5,19,24,0,4,113
15,1,5,11,3,4,113
15,5,66,65,184,295,113
15,5,60,290,3,4,113
15,5,19,25,3,4,113
15,1,5,81,42,4,113
15,1,5,11,257,4,113
15,5,51,160,0,4,113
15,1,5,0,3,4,113
15,28,144,23,0,4,113
15,5,19,11,3,4,113
15,1,5,13,3,4,113
15,5,83,8,3,4,113
15,28,67,82,42,4,113
15,16,31,13,3,4,113
15,1,3,6,0,4,113
15,5,0,1,3,4,113
15,1,3,11,257,4,113
15,1,3,6,42,4,113
15,5,0,6,3,4,113
15,1,3,47,147,4,113
15,5,0,50,184,295,113
15,5,0,6,42,4,113
15,5,19,11,257,4,113
15,1,7,37,159,4,113
15,5,48,7,0,4,113
15,1,7,0,3,4,113
15,5,371,14,3,4,113
15,28,440,11,257,4,113
15,5,270,9,3,4,113
15,28,248,346,3,4,113
15,28,440,11,3,4,113
15,28,101,17,0,4,113
15,28,67,13,3,4,113
15,1,127,5,0,4,113
15,5,18,6,3,4,113
15,1,157,5,0,4,113
15,16,10,2,0,4,113
15,1,57,65,184,295,113
15,1,157,416,3,4,113
15,16,104,23,0,4,113
15,16,10,8,3,4,113
15,1,161,5,0,4,113
15,16,31,75,3,4,113
15,1,188,5,0,4,113
15,1,21,438,0,4,113
15,1,93,8,3,4,113
15,1,487,37,159,4,113
15,1,22,7,0,4,113
15,1,44,50,184,295,113
15,1,22,327,3,4,113
15,1,475,11,3,4,113
15,1,44,23,0,4,113
15,1,44,50,0,4,113
15,1,116,463,42,4,113
15,1,475,11,257,4,113
15,1,44,56,0,4,113
15,1,191,8,3,4,113
15,1,152,34,0,4,113
15,1,317,8,3,4,113
15,5,48,7,1,0,4,113
15,5,48,7,0,3,4,113
15,1,3,8,100,301,4,113
15,28,11,19,5,0,4,113
15,28,11,5,0,3,4,113
15,158,190,431,1,0,4,113
15,5,371,14,2,0,4,113
15,5,371,14,3,0,4,113
15,61,105,240,37,159,4,113
15,61,48,5,1,0,4,113
15,5,86,226,1,0,4,113
15,5,270,9,1,0,4,113
15,5,13,123,47,147,4,113
15,1,100,8,133,3,4,113
15,61,48,5,0,3,4,113
15,5,270,9,3,0,4,113
15,390,424,459,7,0,4,113
15,28,248,346,3,0,4,113
15,1,100,8,3,0,4,113
15,390,424,23,13,3,4,113
15,28,440,11,5,0,4,113
15,28,440,11,3,0,4,113
15,390,424,23,0,3,4,113
15,28,453,18,5,0,4,113
15,28,101,126,5,0,4,113
15,1,3,11,5,0,4,113
15,5,13,23,0,3,4,113
15,390,19,5,1,0,4,113
15,28,101,17,6,0,4,113
15,28,101,17,0,3,4,113
15,28,67,13,5,0,4,113
15,1,3,0,50,184,295,113
15,390,19,5,0,3,4,113
15,28,67,13,3,0,4,113
15,390,19,11,5,0,4,113
15,1,127,5,11,3,4,113
15,390,19,11,3,0,4,113
15,5,81,42,6,0,4,113
15,1,127,5,0,3,4,113
15,5,18,6,17,0,4,113
15,5,127,1,0,3,4,113
15,5,18,6,3,0,4,113
15,16,31,13,5,0,4,113
15,5,157,1,0,3,4,113
15,5,1,287,3,0,4,113
15,1,157,5,11,3,4,113
15,1,3,6,37,159,4,113
15,1,157,5,0,3,4,113
15,61,48,51,5,0,4,113
15,1,157,5,11,257,4,113
15,1,3,6,17,0,4,113
15,61,48,96,14,3,4,113
15,61,48,51,160,0,4,113
15,1,7,0,50,184,295,113
15,61,48,337,23,0,4,113
15,16,10,2,14,3,4,113
15,1,7,0,6,3,4,113
15,61,48,102,37,159,4,113
15,1,100,124,143,0,4,113
15,1,7,0,6,42,4,113
15,61,48,493,9,3,4,113
15,16,10,2,0,3,4,113
15,61,48,7,1,0,4,113
15,1,57,31,75,3,4,113
15,1,157,253,372,3,4,113
15,61,48,7,37,159,4,113
15,61,48,7,1,3,4,113
15,1,57,31,13,3,4,113
15,1,157,253,13,3,4,113
15,1,157,416,3,0,4,113
15,1,392,3,6,0,4,113
15,390,19,25,3,0,4,113
15,16,183,28,59,3,4,113
15,1,392,3,11,257,4,113
15,1,392,3,6,42,4,113
15,16,30,286,5,0,4,113
15,16,183,28,11,3,4,113
15,1,392,3,47,147,4,113
15,16,246,206,23,0,4,113
15,16,30,20,7,0,4,113
15,16,183,28,498,3,4,113
15,16,183,28,11,257,4,113
15,16,494,31,75,3,4,113
15,16,30,410,47,147,4,113
15,16,183,28,98,3,4,113
15,16,397,391,8,3,4,113
15,16,494,31,13,3,4,113
15,16,30,36,23,0,4,113
15,16,30,410,47,3,4,113
15,16,104,150,23,0,4,113
15,16,30,124,143,0,4,113
15,16,104,23,13,3,4,113
15,16,104,332,11,3,4,113
15,16,104,23,0,3,4,113
15,5,127,1,7,0,4,113
15,16,10,8,100,301,4,113
15,16,30,229,6,42,4,113
15,16,30,124,100,301,4,113
15,16,104,23,175,0,4,113
15,16,104,332,11,257,4,113
15,5,127,1,8,3,4,113
15,5,127,1,3,0,4,113
15,16,10,8,1,0,4,113
