10,2,379,45,193
10,8,3,11,45,193
10,2,12,189,45,193
10,8,1,69,117,193
10,16,31,80,117,193
10,8,1,164,45,193
10,120,35,166,45,193
10,16,30,132,45,193
10,334,335,343,45,193
10,16,354,85,45,193
10,16,30,146,45,193
10,356,28,11,45,193
10,334,12,189,45,193
10,8,191,1,69,117,193
10,8,1,3,11,45,193
10,356,28,11,19,45,193
10,334,12,2,379,45,193
10,8,317,1,69,117,193
10,120,338,25,19,45,193
10,8,191,1,164,45,193
10,120,35,1,69,117,193
10,8,1,5,11,45,193
10,8,3,1,69,117,193
10,334,12,5,11,45,193
10,2,12,5,19,45,193
10,8,1,69,19,45,193
10,8,93,1,69,117,193
10,2,12,139,11,45,193
10,2,12,5,11,45,193
10,8,83,5,19,45,193
10,8,93,1,164,45,193
10,2,12,208,166,45,193
10,8,100,1,69,117,193
10,8,317,1,164,45,193
10,8,83,5,11,45,193
10,2,12,241,11,45,193
10,8,133,3,11,45,193
10,8,100,426,132,45,193
10,8,100,1,164,45,193
10,8,3,11,19,45,193
10,16,15,1,69,117,193
10,120,338,25,396,45,193
10,120,35,1,164,45,193
10,16,47,3,11,45,193
10,16,15,5,11,45,193
10,16,15,1,164,45,193
10,16,104,332,11,45,193
10,2,14,96,109,45,193
10,16,31,13,168,45,193
10,8,1,35,166,45,193
10,8,1,5,19,45,193
10,8,1,78,92,45,193
10,16,15,28,11,45,193
10,8,1,97,80,117,193
10,16,15,390,19,45,193
10,8,1,161,355,45,193
10,16,15,5,19,45,193
10,8,1,169,109,45,193
10,16,30,20,470,45,193
10,8,1,472,402,45,193
10,16,30,54,19,45,193
10,16,30,20,19,45,193
10,8,1,475,11,45,193
10,8,3,13,168,45,193
10,16,183,28,11,45,193
10,8,3,25,396,45,193
10,16,494,31,80,117,193
10,8,3,25,19,45,193
10,89,21,20,470,45,193
10,8,3,1,164,45,193
10,91,22,1,164,45,193
10,89,21,1,69,117,193
10,89,21,20,19,45,193
10,91,306,13,168,45,193
10,91,22,1,69,117,193
10,89,21,52,85,45,193
