314,264,161,5,48,122,413,455
314,264,161,5,48,102,129,455
314,264,161,5,11,499,129,455
314,264,161,1,21,122,413,455
314,264,136,51,48,122,413,455
314,264,136,51,48,102,129,455
314,264,136,28,46,105,129,455
314,264,136,28,11,499,129,455
314,221,25,19,11,499,129,455
314,221,25,3,11,499,129,455
314,221,25,3,11,499,129,455
314,264,161,1,21,122,413,455
314,264,136,28,46,105,129,455
314,264,161,5,11,499,129,455
314,264,136,51,48,102,129,455
314,264,161,5,48,102,129,455
314,264,136,51,48,122,413,455
314,221,25,19,11,499,129,455
314,264,161,5,48,122,413,455
314,264,161,227,1,21,122,413,455
314,264,161,5,11,40,209,413,455
314,264,161,5,48,61,105,129,455
314,264,161,355,45,11,499,129,455
314,221,25,3,11,40,209,413,455
314,264,136,28,11,40,209,413,455
314,264,136,158,15,61,105,129,455
314,264,136,51,5,11,499,129,455
314,221,25,3,1,21,122,413,455
314,264,161,1,3,11,499,129,455
314,221,186,387,28,11,499,129,455
314,264,161,1,5,11,499,129,455
314,221,186,17,6,37,102,129,455
314,221,186,387,28,46,105,129,455
314,264,161,1,7,37,102,129,455
314,264,161,1,5,48,102,129,455
314,221,186,131,104,300,105,129,455
314,221,186,17,63,46,105,129,455
314,264,161,1,15,61,105,129,455
314,264,161,1,7,48,102,129,455
314,264,161,1,5,48,122,413,455
314,221,186,439,33,46,105,129,455
314,221,186,131,33,46,105,129,455
314,264,161,5,1,21,122,413,455
314,264,136,51,48,61,105,129,455
314,264,161,1,69,359,480,129,455
314,264,161,1,7,48,122,413,455
314,264,136,291,5,11,499,129,455
314,264,136,28,15,61,105,129,455
314,221,25,396,45,11,499,129,455
314,264,136,28,231,461,105,129,455
314,264,161,5,15,61,105,129,455
314,264,136,28,440,11,499,129,455
314,264,161,5,19,11,499,129,455
314,264,136,51,130,46,105,129,455
314,264,161,5,51,48,102,129,455
314,264,136,51,5,48,102,129,455
314,264,161,5,86,46,105,129,455
314,264,161,5,51,48,122,413,455
314,264,136,51,5,48,122,413,455
314,264,161,5,270,483,105,129,455
314,221,25,19,5,11,499,129,455
314,264,161,5,433,46,105,129,455
314,221,25,19,20,95,209,413,455
314,221,25,19,5,48,102,129,455
314,221,25,19,45,11,499,129,455
314,221,25,19,20,21,122,413,455
314,221,25,19,5,48,122,413,455
314,221,25,19,69,359,480,129,455
314,221,25,3,6,37,102,129,455
314,264,161,1,296,95,209,413,455
314,221,25,19,11,40,209,413,455
314,264,136,291,5,48,102,129,455
314,264,161,1,475,11,499,129,455
314,264,136,291,5,48,122,413,455
314,264,161,1,487,37,102,129,455
314,264,136,28,231,86,46,105,129,455
314,264,161,5,11,259,37,102,129,455
314,221,186,387,28,11,40,209,413,455
314,264,161,5,15,1,21,122,413,455
314,264,161,5,15,61,48,102,129,455
314,264,136,28,498,3,11,499,129,455
314,221,25,396,45,19,11,499,129,455
314,264,161,1,5,11,40,209,413,455
314,264,136,28,440,11,40,209,413,455
314,264,161,5,19,20,21,122,413,455
314,264,161,5,19,11,40,209,413,455
314,264,136,51,294,19,11,499,129,455
314,264,136,28,15,61,48,102,129,455
314,264,161,1,3,11,40,209,413,455
314,221,186,17,6,37,70,393,129,455
314,264,161,5,51,130,46,105,129,455
314,221,186,17,6,3,11,499,129,455
314,264,161,227,1,3,11,499,129,455
314,221,186,17,6,37,240,105,129,455
314,221,186,387,28,15,61,105,129,455
314,221,186,17,6,222,95,209,413,455
314,264,161,227,1,5,11,499,129,455
314,264,136,51,5,1,21,122,413,455
314,221,186,387,28,231,461,105,129,455
314,264,136,28,15,1,21,122,413,455
314,264,161,227,1,7,37,102,129,455
314,264,161,227,1,5,48,102,129,455
314,264,136,51,5,15,61,105,129,455
314,221,186,387,28,440,11,499,129,455
314,264,136,28,15,5,11,499,129,455
314,264,161,227,1,15,61,105,129,455
314,264,161,227,1,7,48,102,129,455
314,264,161,227,1,5,48,122,413,455
314,264,136,51,5,19,11,499,129,455
314,264,136,28,15,5,48,102,129,455
314,264,161,227,1,69,359,480,129,455
314,264,161,227,1,7,48,122,413,455
314,264,161,5,86,231,461,105,129,455
314,264,136,51,5,48,61,105,129,455
314,264,136,51,5,86,46,105,129,455
314,264,136,28,15,5,48,122,413,455
314,264,161,227,1,296,95,209,413,455
314,221,25,396,45,11,40,209,413,455
314,264,161,5,48,381,46,105,129,455
314,264,161,1,5,15,61,105,129,455
314,264,136,51,5,270,483,105,129,455
314,221,25,19,5,11,40,209,413,455
314,264,161,227,1,475,11,499,129,455
314,264,161,5,0,23,40,209,413,455
314,264,161,5,48,7,37,102,129,455
314,264,161,5,51,48,61,105,129,455
314,264,161,1,7,37,70,393,129,455
314,264,161,355,45,19,11,499,129,455
314,264,161,450,88,38,135,122,413,455
314,264,161,1,5,19,11,499,129,455
314,221,25,19,20,95,70,393,129,455
314,264,136,51,5,433,46,105,129,455
314,264,161,1,3,6,37,102,129,455
314,221,186,131,104,23,40,209,413,455
314,221,25,19,5,1,21,122,413,455
314,264,161,227,1,487,37,102,129,455
314,264,136,291,5,11,40,209,413,455
314,264,161,5,12,139,359,480,129,455
