182,216,38,401,23,150,351
182,125,47,16,104,150,351
182,26,389,145,28,215,351
182,26,320,13,23,150,351
182,26,320,13,23,150,351
182,216,38,401,23,150,351
182,26,389,145,28,215,351
182,125,47,16,15,28,215,351
182,26,320,13,67,28,215,351
182,26,320,13,23,104,150,351
182,125,47,16,104,23,150,351
182,216,38,34,0,23,150,351
182,216,38,401,23,104,150,351
182,125,47,3,498,28,215,351
182,26,8,3,498,28,215,351
182,125,47,3,0,23,150,351
182,26,21,438,0,23,150,351
182,26,8,1,57,465,150,351
182,26,8,3,0,23,150,351
182,125,47,3,11,28,215,351
182,26,29,2,0,23,150,351
182,26,21,1,57,465,150,351
182,26,8,10,16,104,150,351
182,26,8,1,0,23,150,351
182,216,38,121,33,23,150,351
182,26,8,1,15,28,215,351
182,216,38,141,46,28,215,351
182,26,8,1,44,23,150,351
182,216,38,165,46,28,215,351
182,26,8,3,11,28,215,351
182,125,47,3,13,23,150,351
182,26,8,3,13,23,150,351
182,125,47,3,59,28,215,351
182,26,8,3,59,28,215,351
182,125,47,3,98,28,215,351
182,26,55,47,16,104,150,351
182,26,8,3,98,28,215,351
182,125,26,320,13,23,150,351
182,26,70,171,40,23,150,351
182,26,21,52,46,28,215,351
182,125,142,30,16,104,150,351
182,125,26,389,145,28,215,351
182,125,47,16,183,28,215,351
182,26,125,47,16,104,150,351
182,26,21,84,358,28,215,351
182,26,225,6,0,23,150,351
182,26,21,118,11,28,215,351
182,26,21,84,419,23,150,351
182,26,21,140,33,23,150,351
182,26,21,52,481,28,215,351
182,26,21,1,0,23,150,351
182,125,142,30,36,23,150,351
182,26,21,1,15,28,215,351
182,125,142,30,132,172,215,351
182,26,21,1,44,23,150,351
182,125,47,123,13,23,150,351
182,26,8,148,0,23,150,351
182,26,8,10,356,28,215,351
182,26,125,47,16,104,23,150,351
182,26,8,10,16,104,23,150,351
182,125,47,16,10,356,28,215,351
182,26,344,157,5,11,28,215,351
182,26,225,6,3,498,28,215,351
182,26,225,6,0,175,23,150,351
182,26,225,6,0,23,104,150,351
182,26,125,47,16,15,28,215,351
182,216,38,121,33,23,104,150,351
182,26,8,1,15,16,104,150,351
182,26,21,118,11,40,23,150,351
182,26,21,84,419,23,104,150,351
182,26,21,20,30,16,104,150,351
182,26,21,140,33,46,28,215,351
182,26,125,47,3,498,28,215,351
182,125,47,3,0,175,23,150,351
182,26,21,140,33,23,104,150,351
182,26,21,52,85,244,28,215,351
182,216,38,141,46,33,23,150,351
182,26,125,142,30,132,172,215,351
182,26,21,1,0,175,23,150,351
182,26,21,1,0,23,104,150,351
182,26,8,1,3,498,28,215,351
182,125,142,30,36,23,104,150,351
182,216,38,121,33,46,28,215,351
182,26,8,1,0,23,104,150,351
182,125,47,3,0,23,104,150,351
182,26,8,1,44,23,104,150,351
182,26,21,1,15,16,104,150,351
182,216,38,9,3,498,28,215,351
182,216,38,165,46,33,23,150,351
182,26,21,1,3,498,28,215,351
182,216,38,197,32,376,172,215,351
182,216,38,9,1,57,465,150,351
182,216,38,9,3,0,23,150,351
182,26,21,1,5,0,23,150,351
182,26,21,1,3,0,23,150,351
182,216,38,430,30,16,104,150,351
182,216,38,197,412,0,23,150,351
182,216,38,197,32,11,28,215,351
182,216,38,9,32,376,172,215,351
182,216,38,9,1,0,23,150,351
182,216,38,9,3,11,28,215,351
182,26,21,1,7,0,23,150,351
182,26,21,1,5,11,28,215,351
182,26,21,1,3,11,28,215,351
182,216,38,53,45,132,172,215,351
182,216,38,430,30,36,23,150,351
182,216,38,197,32,145,28,215,351
182,216,38,9,176,33,23,150,351
182,216,38,9,32,11,28,215,351
182,216,38,9,1,15,28,215,351
182,216,38,9,3,13,23,150,351
182,26,21,1,35,33,23,150,351
182,26,21,1,7,33,23,150,351
182,26,21,1,5,13,23,150,351
182,26,21,1,3,13,23,150,351
182,216,38,281,3,98,28,215,351
182,216,38,53,45,11,28,215,351
182,26,320,13,23,41,28,215,351
182,26,21,438,0,175,23,150,351
182,216,38,430,30,132,172,215,351
182,216,38,197,32,178,23,150,351
182,216,38,9,282,132,172,215,351
182,216,38,9,32,145,28,215,351
182,216,38,9,1,44,23,150,351
182,26,21,1,44,23,104,150,351
182,125,47,154,12,90,28,215,351
182,216,38,9,3,59,28,215,351
182,125,47,123,13,67,28,215,351
182,26,21,1,69,232,23,150,351
182,125,47,123,13,23,104,150,351
182,26,8,3,11,40,23,150,351
182,26,8,191,1,57,465,150,351
182,26,21,1,7,265,23,150,351
182,26,21,1,5,15,28,215,351
182,26,8,148,0,175,23,150,351
182,26,8,148,0,23,104,150,351
182,26,21,1,3,59,28,215,351
182,26,8,10,16,15,28,215,351
182,26,320,13,3,498,28,215,351
182,125,47,3,13,67,28,215,351
182,26,8,10,2,0,23,150,351
182,216,38,88,218,46,28,215,351
182,216,38,281,3,0,23,150,351
182,26,320,13,23,144,28,215,351
182,26,21,438,0,23,104,150,351
182,26,21,438,0,175,258,215,351
182,125,47,3,13,23,104,150,351
182,125,47,16,30,36,23,150,351
182,26,8,1,0,175,23,150,351
182,26,8,3,13,23,104,150,351
182,26,344,157,1,57,465,150,351
182,216,38,9,292,46,28,215,351
182,26,344,157,5,0,23,150,351
182,216,38,9,32,178,23,150,351
182,26,8,3,13,67,28,215,351
182,26,225,6,17,0,23,150,351
182,26,225,6,3,0,23,150,351
182,125,47,71,137,181,28,215,351
182,125,47,154,12,39,28,215,351
182,26,389,145,32,376,172,215,351
182,125,47,3,1,57,465,150,351
182,26,8,3,0,23,104,150,351
182,26,225,6,0,175,258,215,351
182,216,38,9,3,98,28,215,351
182,26,21,1,111,203,266,215,351
182,26,125,47,16,183,28,215,351
182,26,8,3,11,332,104,150,351
182,26,55,321,186,131,104,150,351
182,26,8,87,63,203,266,215,351
182,26,8,191,1,0,23,150,351
182,26,21,1,5,51,172,215,351
182,26,21,118,11,332,104,150,351
182,26,8,148,0,175,258,215,351
182,26,21,118,11,440,28,215,351
182,26,21,1,3,98,28,215,351
182,26,55,47,3,498,28,215,351
182,26,55,47,16,15,28,215,351
182,26,55,47,123,13,23,150,351
182,26,55,47,3,0,23,150,351
182,26,55,47,16,183,28,215,351
182,26,55,47,3,11,28,215,351
182,26,21,89,10,16,104,150,351
182,26,55,47,3,13,23,150,351
182,26,21,122,48,51,172,215,351
182,26,21,89,10,356,28,215,351
182,26,55,47,3,59,28,215,351
182,26,21,122,48,337,23,150,351
182,26,55,47,3,98,28,215,351
182,26,8,10,16,183,28,215,351
182,26,320,13,5,0,23,150,351
182,26,21,20,7,0,23,150,351
182,26,320,13,31,57,465,150,351
182,26,320,13,5,11,28,215,351
182,26,21,20,19,11,28,215,351
182,26,21,20,7,33,23,150,351
182,26,320,13,305,203,266,215,351
182,26,320,13,31,16,104,150,351
182,26,320,13,5,15,28,215,351
182,26,21,20,72,404,28,215,351
182,26,21,20,7,265,23,150,351
182,26,320,13,177,51,172,215,351
182,26,320,13,5,51,172,215,351
182,26,21,20,202,206,23,150,351
182,26,320,13,3,0,23,150,351
182,26,21,20,204,44,23,150,351
182,26,320,13,3,11,28,215,351
182,26,21,20,269,51,172,215,351
182,26,320,13,3,59,28,215,351
182,26,55,47,16,104,23,150,351
182,26,320,13,3,98,28,215,351
182,26,21,20,30,36,23,150,351
182,26,8,3,1,57,465,150,351
182,26,21,20,30,132,172,215,351
182,26,8,3,4,0,23,150,351
182,26,8,3,1,0,23,150,351
182,26,8,3,6,0,23,150,351
182,26,8,3,1,15,28,215,351
182,26,8,3,47,16,104,150,351
182,26,8,3,1,44,23,150,351
182,26,8,3,346,248,28,215,351
182,26,21,140,33,131,104,150,351
182,26,8,3,0,175,23,150,351
182,216,38,34,17,0,23,150,351
182,26,8,3,0,175,258,215,351
