1,9,38,34,17,0,316
1,475,11,257,4,0,316
1,3,13,23,232,403,316
1,8,83,5,270,9,316
1,475,11,330,260,0,316
1,220,425,12,2,0,316
1,157,253,372,3,0,316
1,157,174,48,7,0,316
1,220,425,12,5,0,316
1,157,307,33,23,0,316
1,157,253,13,5,0,316
1,157,253,372,3,9,316
1,157,174,48,493,9,316
1,157,310,491,5,0,316
1,157,307,33,7,0,316
1,157,253,13,3,0,316
1,157,310,20,7,0,316
1,22,7,235,50,0,316
1,157,307,33,176,9,316
1,157,253,13,23,0,316
1,157,253,13,3,9,316
1,22,7,37,6,0,316
1,22,7,33,23,0,316
1,127,5,11,3,9,316
1,127,5,48,7,0,316
1,22,7,48,493,9,316
1,220,83,8,3,0,316
1,127,5,13,3,9,316
1,127,5,11,32,9,316
1,127,5,11,3,0,316
1,22,7,62,2,0,316
1,22,7,48,5,0,316
1,220,83,8,148,0,316
1,220,83,8,3,9,316
1,127,5,12,2,0,316
1,127,5,13,23,0,316
1,127,5,13,3,0,316
1,22,7,265,23,0,316
1,127,5,18,6,0,316
1,220,83,5,270,9,316
1,15,113,4,3,9,316
1,22,7,272,24,0,316
1,127,5,19,24,0,316
1,8,3,14,2,0,316
1,93,8,228,77,9,316
1,8,3,11,5,0,316
1,127,5,51,160,0,316
1,5,18,6,17,0,316
1,5,18,6,3,9,316
1,8,3,281,38,9,316
1,93,8,10,2,0,316
1,9,3,8,148,0,316
1,15,5,0,3,9,316
1,93,8,3,4,0,316
1,8,3,13,5,0,316
1,93,8,83,5,0,316
1,9,3,13,23,0,316
1,3,0,23,232,403,316
1,93,8,3,6,0,316
1,8,3,13,23,0,316
1,93,8,100,260,0,316
1,9,3,14,2,0,316
1,9,3,13,5,0,316
1,157,416,3,6,0,316
1,69,19,5,270,9,316
1,3,0,34,38,9,316
1,287,3,11,32,9,316
1,93,8,133,3,0,316
1,9,3,11,5,0,316
1,7,0,4,3,9,316
1,3,59,367,32,9,316
1,3,47,147,4,0,316
1,475,11,5,270,9,316
1,287,3,14,2,0,316
1,287,3,11,5,0,316
1,8,484,200,7,0,316
1,93,8,352,239,0,316
1,93,8,133,3,9,316
1,7,0,23,232,403,316
1,226,86,5,270,9,316
1,317,8,100,260,0,316
1,317,8,3,4,0,316
1,5,19,20,7,0,316
1,157,5,11,3,9,316
1,157,5,48,7,0,316
1,3,290,60,5,0,316
1,5,51,364,17,0,316
1,287,3,281,38,9,316
1,8,26,21,438,0,316
1,5,51,48,7,0,316
1,487,37,6,17,0,316
1,487,37,6,3,9,316
1,7,0,5,270,9,316
1,5,66,210,38,9,316
1,5,60,33,176,9,316
1,317,8,228,77,9,316
1,317,8,3,6,0,316
1,5,60,290,3,0,316
1,5,19,11,3,0,316
1,226,86,46,292,9,316
1,100,8,3,4,0,316
1,97,108,199,6,0,316
1,157,5,13,3,9,316
1,157,5,11,32,9,316
1,157,5,11,3,0,316
