4,3,11,5,1,93,8
4,3,0,7,1,93,8
4,113,15,1,0,3,8
4,3,327,22,1,191,8
4,3,416,157,1,100,8
4,0,1,287,3,133,8
4,0,7,1,5,83,8
4,3,0,5,127,1,8
4,0,5,1,3,133,8
4,3,0,17,103,213,8
4,3,6,0,1,93,8
4,0,143,274,44,1,8
4,0,143,124,100,1,8
4,0,316,9,1,93,8
4,0,316,9,3,133,8
4,0,17,34,152,1,8
4,0,23,13,3,1,8
4,3,59,28,15,1,8
4,42,6,0,1,93,8
4,0,7,1,3,133,8
4,42,6,0,3,1,8
4,0,239,211,250,3,8
4,0,316,9,1,100,8
4,147,47,3,287,1,8
4,42,81,5,1,3,8
4,0,260,330,11,3,8
4,3,1,22,217,133,8
4,42,6,0,1,100,8
4,42,6,17,63,87,8
4,3,1,157,5,83,8
4,0,7,22,217,133,8
4,3,47,125,182,26,8
4,0,7,22,1,3,8
4,0,3,287,1,93,8
4,0,6,3,1,317,8
4,301,308,19,25,3,8
4,3,6,0,7,1,8
4,113,15,28,356,10,8
4,3,6,0,5,83,8
4,0,23,13,5,1,8
4,113,15,5,1,93,8
4,0,1,5,11,3,8
4,42,6,3,1,93,8
4,0,316,9,77,228,8
4,0,7,37,487,1,8
4,0,7,33,35,1,8
4,0,3,47,16,10,8
4,3,11,475,1,93,8
4,113,15,5,0,1,8
4,0,5,1,9,3,8
4,113,15,5,1,100,8
4,42,6,3,1,100,8
4,113,15,16,47,3,8
4,3,11,475,1,100,8
4,3,11,28,356,10,8
4,159,37,7,1,3,8
4,159,37,7,0,1,8
4,0,5,13,3,1,8
4,3,11,5,1,100,8
4,3,0,7,1,100,8
4,113,15,1,287,3,8
4,113,15,1,0,148,8
4,3,327,22,1,317,8
4,3,416,157,1,191,8
4,0,7,1,220,83,8
4,0,5,15,1,3,8
4,3,0,5,157,1,8
4,0,17,103,340,391,8
4,0,175,420,97,1,8
4,3,0,34,152,1,8
4,3,0,17,63,87,8
4,3,6,0,1,100,8
4,0,50,71,47,3,8
4,0,438,21,1,3,8
4,42,6,0,2,10,8
4,3,0,1,5,83,8
4,3,392,1,21,26,8
4,0,17,167,293,1,8
4,0,23,33,140,267,8
4,0,17,6,3,1,8
4,0,23,13,3,133,8
4,3,0,2,29,26,8
4,3,98,28,15,1,8
4,301,100,260,0,1,8
4,0,1,21,89,10,8
4,301,100,260,0,3,8
4,0,1,21,140,267,8
4,301,100,260,0,148,8
4,0,1,21,408,243,8
4,3,9,1,0,148,8
4,3,59,28,356,10,8
4,3,9,1,5,83,8
4,257,11,19,69,1,8
4,3,9,1,220,83,8
4,257,11,28,15,1,8
4,257,11,19,5,1,8
4,3,9,1,21,26,8
4,257,11,32,9,1,8
4,257,11,28,59,3,8
4,257,11,19,25,3,8
4,257,11,19,5,83,8
4,257,11,241,469,1,8
4,257,11,32,382,1,8
4,257,11,32,9,3,8
4,257,11,28,98,3,8
4,257,11,255,69,1,8
4,257,11,28,356,10,8
4,257,11,45,164,1,8
4,257,11,28,498,3,8
4,257,11,118,21,26,8
4,42,6,0,3,133,8
4,257,11,324,287,1,8
4,257,11,118,21,1,8
4,257,11,330,260,100,8
4,257,11,324,287,3,8
4,0,34,152,1,3,8
4,257,11,5,0,1,8
4,0,34,152,1,93,8
4,257,11,5,13,3,8
4,257,11,5,0,3,8
4,0,34,152,1,100,8
4,257,11,5,15,1,8
4,257,11,5,0,148,8
4,0,34,152,1,191,8
4,257,11,5,127,1,8
4,0,34,152,1,317,8
4,257,11,5,157,1,8
4,301,100,1,21,26,8
4,257,11,5,161,1,8
4,301,100,1,0,3,8
