19,45,355,161,1,5,127
19,20,72,185,12,5,127
19,54,30,16,15,1,127
19,20,470,45,164,1,127
19,25,3,9,1,5,127
19,390,15,28,11,5,127
19,5,83,8,3,1,127
19,313,17,0,1,5,127
19,284,20,7,1,5,127
19,11,139,12,5,1,127
19,24,0,34,152,1,127
19,5,11,241,469,1,127
19,5,11,32,9,1,127
19,76,17,6,0,1,127
19,24,272,309,5,1,127
19,20,21,438,0,1,127
19,76,17,0,1,5,127
19,294,51,5,161,1,127
19,45,166,208,12,5,127
19,11,28,498,3,1,127
19,24,0,7,22,1,127
19,45,166,35,1,5,127
19,25,338,120,35,1,127
19,11,3,287,1,5,127
19,308,301,100,1,5,127
19,11,3,8,83,5,127
19,308,301,4,0,1,127
19,11,3,8,93,1,127
19,308,301,4,3,1,127
19,308,301,4,0,5,127
19,11,3,8,100,1,127
19,308,301,100,8,1,127
19,11,3,8,191,1,127
19,45,109,238,7,1,127
19,11,3,8,317,1,127
19,45,109,219,21,1,127
19,20,7,1,0,5,127
19,45,109,361,11,5,127
19,20,7,1,188,5,127
19,45,164,1,188,5,127
19,20,7,1,15,5,127
19,45,164,1,15,5,127
19,20,7,1,157,5,127
19,45,164,1,157,5,127
19,20,7,1,161,5,127
19,76,17,0,3,1,127
19,45,189,12,5,1,127
19,76,17,0,7,1,127
19,11,3,0,5,1,127
19,25,3,0,5,1,127
19,76,17,0,5,1,127
19,45,470,20,78,1,127
19,45,402,462,57,1,127
19,45,85,399,471,1,127
19,45,470,20,7,1,127
19,45,132,426,100,1,127
19,45,85,52,21,1,127
19,45,470,20,21,1,127
19,45,146,30,286,5,127
19,45,132,30,286,5,127
19,45,360,37,7,1,127
19,45,132,172,51,5,127
19,45,379,2,12,5,127
19,45,360,37,487,1,127
19,45,132,282,9,1,127
19,45,53,38,9,1,127
19,45,379,2,0,1,127
19,45,151,42,81,5,127
19,45,53,198,116,1,127
19,45,379,2,0,5,127
19,45,396,25,3,1,127
19,11,3,9,1,5,127
19,45,212,24,0,5,127
19,45,11,5,157,1,127
19,45,251,24,0,5,127
19,45,212,24,0,1,127
19,45,11,5,161,1,127
19,45,193,117,69,1,127
19,45,251,24,0,1,127
19,45,11,5,188,1,127
19,45,319,17,0,1,127
19,69,114,7,1,5,127
19,45,319,17,0,5,127
19,45,355,161,227,1,127
19,11,3,13,5,1,127
19,5,0,6,3,1,127
19,313,17,6,0,1,127
19,5,0,56,44,1,127
19,313,17,34,152,1,127
19,313,17,6,3,1,127
19,313,17,6,0,5,127
19,5,0,148,8,1,127
19,313,17,179,268,5,127
19,313,17,34,0,1,127
19,313,17,6,18,5,127
19,5,0,23,44,1,127
19,313,17,167,293,1,127
19,313,17,34,0,5,127
19,5,0,260,100,1,127
19,313,17,364,51,5,127
19,5,0,316,9,1,127
19,313,17,101,126,5,127
19,5,0,438,21,1,127
19,25,3,8,1,5,127
19,5,0,50,44,1,127
19,11,259,37,7,1,127
19,11,257,4,3,1,127
19,11,440,28,15,1,127
19,11,259,37,487,1,127
19,11,440,28,15,5,127
19,11,139,359,69,1,127
19,11,257,4,0,5,127
19,20,21,1,188,5,127
19,45,355,161,5,1,127
19,20,21,1,15,5,127
19,24,0,5,15,1,127
19,20,21,1,157,5,127
19,24,0,5,157,1,127
19,20,21,1,161,5,127
19,24,0,5,161,1,127
19,284,20,7,0,1,127
19,24,0,5,188,1,127
19,284,20,7,22,1,127
19,284,20,7,0,5,127
19,284,20,7,48,5,127
19,24,0,3,9,1,127
19,11,3,6,18,5,127
19,24,0,3,11,5,127
19,11,3,14,371,5,127
19,11,3,6,0,1,127
19,24,0,3,287,1,127
19,11,3,133,8,1,127
19,11,3,6,0,5,127
19,24,0,3,13,5,127
19,11,3,290,60,5,127
19,24,0,3,392,1,127
19,11,3,327,22,1,127
19,25,3,1,0,5,127
19,11,3,416,157,1,127
19,25,3,1,188,5,127
19,11,3,4,0,1,127
19,11,3,416,157,5,127
19,25,3,1,15,5,127
19,11,3,4,0,5,127
19,25,3,1,157,5,127
19,313,17,0,3,1,127
19,25,3,1,161,5,127
19,313,17,0,7,1,127
19,284,20,30,286,5,127
19,390,424,466,371,5,127
19,11,475,1,0,5,127
19,11,5,86,226,1,127
19,284,20,74,363,5,127
19,390,424,23,0,1,127
19,11,475,1,161,5,127
19,11,5,60,230,273,127
19,284,20,269,51,5,127
19,390,424,459,7,1,127
19,390,424,23,13,5,127
19,390,424,23,0,5,127
19,11,475,1,188,5,127
19,11,5,270,9,1,127
19,11,5,60,236,1,127
19,284,20,115,12,5,127
19,390,424,23,44,1,127
19,11,475,1,15,5,127
19,11,5,48,7,1,127
19,284,20,95,296,1,127
19,20,30,16,15,1,127
19,11,475,1,157,5,127
19,11,32,9,270,5,127
19,284,20,310,157,5,127
19,20,30,156,35,1,127
19,20,30,16,15,5,127
19,5,270,9,3,1,127
19,284,20,204,44,1,127
19,284,20,310,491,5,127
19,284,20,310,157,1,127
19,20,30,124,100,1,127
19,20,74,94,0,1,127
19,76,162,44,1,5,127
19,5,60,33,35,1,127
19,20,74,94,0,5,127
19,24,73,12,5,1,127
19,5,60,65,57,1,127
19,5,60,33,7,1,127
19,24,58,12,5,1,127
19,5,60,290,3,1,127
19,20,74,31,57,1,127
19,45,179,17,0,5,127
19,20,7,427,126,5,127
19,5,0,3,8,1,127
19,5,12,90,111,1,127
19,20,7,272,309,5,127
19,5,0,3,9,1,127
19,5,51,366,44,1,127
19,5,12,241,469,1,127
19,5,0,3,287,1,127
19,5,473,33,7,1,127
19,5,51,428,22,1,127
19,5,12,73,134,1,127
19,5,0,3,392,1,127
19,5,491,310,157,1,127
19,5,473,33,35,1,127
19,5,51,48,7,1,127
19,5,12,107,7,1,127
19,5,126,427,7,1,127
19,5,51,160,0,1,127
19,5,12,425,220,1,127
19,5,18,6,0,1,127
19,25,3,6,0,1,127
19,5,48,493,9,1,127
19,25,3,4,0,5,127
19,25,3,8,83,5,127
19,5,12,2,0,1,127
19,5,66,65,57,1,127
19,5,18,6,3,1,127
19,25,3,133,8,1,127
19,25,3,6,18,5,127
19,25,3,6,0,5,127
19,5,48,61,15,1,127
19,25,3,8,93,1,127
19,5,48,7,0,1,127
19,5,371,14,3,1,127
19,5,13,3,8,1,127
19,25,3,327,22,1,127
19,69,365,310,491,5,127
19,5,13,253,157,1,127
19,5,48,122,21,1,127
19,20,30,286,5,1,127
19,25,3,0,7,1,127
19,69,255,11,3,1,127
19,5,11,3,287,1,127
19,25,3,8,100,1,127
19,5,48,7,22,1,127
19,45,11,32,382,1,127
19,5,309,272,7,1,127
19,20,310,157,1,5,127
19,11,3,1,0,5,127
19,5,13,3,9,1,127
19,20,78,1,188,5,127
19,25,3,416,157,1,127
19,25,3,392,1,5,127
19,69,359,139,11,5,127
19,69,365,310,157,1,127
19,11,3,0,7,1,127
19,11,3,9,270,5,127
19,20,375,156,35,1,127
19,5,13,23,0,1,127
19,20,72,31,13,5,127
19,5,48,174,157,1,127
19,54,30,20,21,1,127
19,390,15,5,0,1,127
19,54,30,16,15,5,127
19,69,255,11,475,1,127
19,5,11,3,392,1,127
19,24,272,7,0,1,127
19,25,3,8,191,1,127
19,45,402,472,1,5,127
19,45,11,3,0,1,127
19,11,3,392,1,5,127
19,24,272,7,1,5,127
19,24,73,84,21,1,127
19,45,11,241,469,1,127
19,45,11,32,9,1,127
19,5,83,8,93,1,127
19,313,17,0,5,1,127
19,45,11,475,1,5,127
19,11,3,1,188,5,127
19,5,13,3,287,1,127
19,11,3,1,15,5,127
